AREAS,TECHNOLOGIES,energyCost,margvarCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
IT,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
IT,Biomass,60.0,0.0005,293490.3,0.0,1354.0,1354.0,0.15,0.15,0.0,0.0
IT,OldNuke,10.0,0.0,177024.52,0.0,0.0,0.0,0.08,0.08,0.0,0.0
IT,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,curtailment,5000.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0
BE,CCG,39.74,0.0005,101000.0,0.0,3010.0,3010.0,0.35,0.35,0.0,0.0
BE,TAC,57.23,0.0,74000.0,0.0,2270.0,2270.0,0.0,0.0,0.0,0.0
BE,WindOnShore,0.0,0.0,168000.0,0.0,1978.99,1978.99,0.0,0.0,0.0,0.0
BE,WindOffShore,0.0,0.0,265328.27,0.0,1178.2,1178.2,0.0,0.0,0.0,0.0
BE,HydroRiver,0.0,0.0,121000.0,0.0,170.85,170.85,0.0,0.0,0.0,0.0
BE,Solar,0.0,0.0,227000.0,0.0,2952.78,2952.78,0.0,0.0,0.0,0.0
BE,Biomass,60.0,0.0005,293490.3,0.0,598.14,598.14,0.15,0.15,0.0,0.0
BE,OldNuke,10.0,0.0,177024.52,0.0,5943.0,5943.0,0.08,0.08,0.0,0.0
BE,NewNuke,17.87,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,HydroReservoir,0.0,0.0,121000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,Coal,37.13,0.0005,124000.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0
BE,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
BE,curtailment,5000.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0
ES,CCG,39.74,0.0005,101000.0,0.0,30800.300000000003,30800.300000000003,0.35,0.35,0.0,0.0
ES,TAC,57.23,0.0,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,Coal,37.13,0.0005,124000.0,0.0,9534.7,9534.7,0.15,0.15,0.0,0.0
ES,Lignite,31.24,0.0005,139745.93,0.0,0.0,0.0,0.15,0.15,0.0,0.0
ES,WindOnShore,0.0,0.0,168000.0,0.0,22834.1,22834.1,0.0,0.0,0.0,0.0
ES,WindOffShore,0.0,0.0,265328.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,HydroRiver,0.0,0.0,121000.0,0.0,1156.2,1156.2,0.0,0.0,0.0,0.0
ES,Solar,0.0,0.0,227000.0,0.0,6722.4,6722.4,0.0,0.0,0.0,0.0
ES,HydroReservoir,0.0,0.0,121000.0,1300.0,19125.0,19125.0,0.0,0.0,0.0,0.0
ES,Biomass,60.0,0.0005,293490.3,0.0,519.9,519.9,0.15,0.15,0.0,0.0
ES,OldNuke,10.0,0.0,177024.52,0.0,7117.2,7117.2,0.08,0.08,0.0,0.0
ES,NewNuke,0.0,0.0,1e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,curtailment,5000.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0
