Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Conso_TS_heat;Conso_TS_air_con;Conso_ECS;Conso_H2;Taux_pertes
2019-10-21 21:00:00;18304.96498574473;926.0749758741453;1784.2395591031009;2175.340522110664;1063.2738519416864;18167.872192326995;4397.294360316125;4416.0391512110855;0.0;19230.02835378981;4983.1071108812785;0.077538
2019-10-21 22:00:00;15138.303020666013;704.3005571316387;664.4889714156243;1967.451611858489;952.5288455784503;16275.602593115198;3939.2954238764446;4218.453646704282;0.0;13987.510619840832;4983.1071108812785;0.07765799999999999
2019-10-21 23:00:00;16200.199963089533;736.9449363094767;378.59783131350326;1794.352445086197;1019.9370172529182;17427.387489462;4218.069798042124;3242.9041213988867;0.0;9782.028808916635;4983.1071108812785;0.07765799999999999
2019-10-22 00:00:00;15786.098700388764;756.8434094491685;214.8694685535948;1442.740713706789;1049.5740083863836;17933.78691139191;4340.637105187625;4483.713397601089;0.0;7762.245236073387;4983.1071108812785;0.077778
2019-10-22 01:00:00;13884.96877555324;682.0788749045506;151.59632799524337;1096.446212273224;979.7764872051774;16741.175527004263;4051.9812261407137;4581.399596772538;0.0;5583.349554355893;4983.1071108812785;0.077778
2019-10-22 02:00:00;14113.941246991972;693.5273841093687;140.83792814919397;1116.1060292117077;975.5488249436758;16668.938598923694;4034.4972154536226;4981.39535560206;0.0;3962.886031787438;4983.1071108812785;0.077898
2019-10-22 03:00:00;13840.623452836893;687.3963503598577;145.85606522115327;1064.000889782673;974.4856470124618;16650.77236850577;4030.10030702803;5330.74164666601;0.0;2929.334214027021;4983.1071108812785;0.078018
2019-10-22 04:00:00;13184.609237257813;687.6850693655988;202.05461546370825;1033.6821587690288;948.8706574269796;16213.095949100703;3924.1664929609215;5529.529261050276;0.0;2323.49314602967;4983.1071108812785;0.078138
2019-10-22 05:00:00;13570.24822294415;704.4753302704747;395.07717191108964;915.6447860549947;917.2764471471102;15673.254241928687;3793.504890518078;5767.827653091427;0.0;1918.2830122900593;4983.1071108812785;0.078258
2019-10-22 06:00:00;15477.365628350206;746.5220644807885;983.4818070766661;1000.2217341202547;885.570558170513;15131.504374704062;3662.381512467298;6190.126431933518;0.0;1772.727674976478;4983.1071108812785;0.078378
2019-10-22 07:00:00;19200.02827163415;853.75988362137;1604.010957253545;1488.6300890484633;908.9723118062401;15531.363643468021;3759.162181580957;6896.018217156267;0.0;1734.7551250913536;4983.1071108812785;0.078498
2019-10-22 08:00:00;23081.981280226242;1009.4836485399258;1294.23527885075;1550.6258142663219;977.4191021990504;16700.895532750827;4042.231933965381;7090.849932483287;0.0;2247.8372025743556;4983.1071108812785;0.078498
2019-10-22 09:00:00;24962.175884679673;1074.3686262813028;1209.2014010858668;1522.1263298804242;1010.2861160427709;17262.485276872525;4178.157343909675;6514.55586212495;0.0;3241.1279734124673;4983.1071108812785;0.078378
2019-10-22 10:00:00;26177.68332869451;1111.0297754300968;1204.812829515676;1562.0110696591219;1033.019108866487;17650.91803330511;4272.17240298709;5872.2077167017915;0.0;3861.8424354489316;4983.1071108812785;0.078138
2019-10-22 11:00:00;26170.457958811392;1113.52172106878;1886.4990913326662;1538.8370578502008;1045.210439405027;17859.22775004278;4322.591043178921;4868.892897066208;0.0;4811.130711508597;4983.1071108812785;0.07765799999999999
2019-10-22 12:00:00;24918.518127143565;1077.1981900971589;3568.8592128573623;1497.9430075952102;1085.9838371449284;18555.91174720711;4491.2142219006455;3566.106670246527;0.0;8387.536449974627;4983.1071108812785;0.077058
2019-10-22 13:00:00;26530.361568676362;1088.2641539703714;2089.265433111192;1549.0666252101407;1112.0676401175942;19001.59873092356;4599.086919858548;2633.7671774179853;0.0;13938.6364846475;4983.1071108812785;0.076578
2019-10-22 14:00:00;27297.61983340766;1142.592918307589;895.8912599032247;1538.968135512073;1104.30546189764;18868.968617822513;4566.985520782293;2133.112827859226;0.0;12171.8009635376;4983.1071108812785;0.07633799999999999
