Date;Consommation hors metallurgie;Metallurgie;Conso_VE;Conso_H2;Taux_pertes
2019-11-05 07:00:00;40244.4447475455;1816.4803739165877;1722.3440821878476;6514.991577776255;0.077778
2019-11-05 08:00:00;42500.77122279151;1862.0440667000253;2234.4356933957406;6514.991577776255;0.077898
2019-11-05 09:00:00;46146.62296423036;2016.4920110061407;3229.5200526726767;6514.991577776255;0.078018
2019-11-05 10:00:00;48680.421895126616;2113.1703885151974;3857.221076233949;6514.991577776255;0.078018
2019-11-05 11:00:00;49823.59078617284;2112.514904969108;4822.700785930613;6514.991577776255;0.077898
2019-11-05 12:00:00;53589.62345949888;2161.3271559359946;8438.268492209814;6514.991577776255;0.07765799999999999
2019-11-05 13:00:00;57185.281661251174;2323.9654970298516;14023.354306516158;6514.991577776255;0.077178
2019-11-05 14:00:00;54537.81789218924;2260.9218437716363;12231.12851808363;6514.991577776255;0.076818
2019-11-05 15:00:00;51247.28010672325;2222.4816189468415;7145.382999654795;6514.991577776255;0.076818
2019-11-05 16:00:00;47599.6719583144;2198.4103851159734;6602.275042397926;6514.991577776255;0.076698
2019-11-05 17:00:00;43616.38966724328;2079.4071094805117;9394.970788909175;6514.991577776255;0.076698
2019-11-05 18:00:00;42876.539791709794;1916.4961759653388;18448.136530216794;6514.991577776255;0.07693799999999999
2019-11-05 19:00:00;44762.13391709629;1967.8239559394456;23965.67481066931;6514.991577776255;0.077178
2019-11-05 20:00:00;45332.055726585626;2133.4948601605756;22867.309611810895;6514.991577776255;0.077418
2019-11-05 21:00:00;44282.563864700314;2157.821888575165;19299.480025364464;6514.991577776255;0.077898
2019-11-05 22:00:00;39995.35670332215;2089.366886913129;14054.786504927695;6514.991577776255;0.078138
2019-11-05 23:00:00;41840.19656826292;2345.624652641504;9840.83972456399;6514.991577776255;0.078258
2019-11-06 00:00:00;40590.523668019116;2613.0539953755724;7567.408542596057;6514.991577776255;0.075018
2019-11-06 01:00:00;37012.958079320124;2449.669510339129;5443.204359061692;6514.991577776255;0.075018
2019-11-06 02:00:00;37335.64271845823;2440.3441493604464;3858.781043443624;6514.991577776255;0.075138
2019-11-06 03:00:00;37124.44812191704;2428.144456228417;2848.963170420831;6514.991577776255;0.07525799999999999
2019-11-06 04:00:00;36516.416019613534;2365.4415547750004;2259.5425766385642;6514.991577776255;0.075378
2019-11-06 05:00:00;37234.0107061724;2295.314743715612;1865.548335044741;6514.991577776255;0.075498
2019-11-06 06:00:00;39280.96684151174;2160.8244838230708;1724.052573810987;6514.991577776255;0.07561799999999999
2019-11-06 07:00:00;43808.480698344196;2226.8586336756985;1687.179460627913;6514.991577776255;0.075738
2019-11-06 08:00:00;48526.626199212085;2389.271708594579;2188.8705621884505;6514.991577776255;0.075858
2019-11-06 09:00:00;51238.210978212715;2504.4739121073576;3156.003221320669;6514.991577776255;0.075738
2019-11-06 10:00:00;52691.75477536422;2548.54977932891;3764.79389193429;6514.991577776255;0.07561799999999999
2019-11-06 11:00:00;54340.4461967507;2594.8612772978995;4696.008471009528;6514.991577776255;0.075138
2019-11-06 12:00:00;58305.77074515763;2643.4817684134505;8236.354964113772;6514.991577776255;0.075018
2019-11-06 13:00:00;60787.986890140746;2711.4606706153522;13753.95163297383;6514.991577776255;0.074778
2019-11-06 14:00:00;59700.475888326415;2690.313157619046;12039.797154672682;6514.991577776255;0.074538
2019-11-06 15:00:00;57278.48155149296;2698.8065468230902;7033.607878761414;6514.991577776255;0.074418
2019-11-06 16:00:00;54241.67409312891;2700.8579664268286;6506.886226123533;6514.991577776255;0.074298
2019-11-06 17:00:00;50027.99182931971;2569.2190632251163;9259.233464903376;6514.991577776255;0.074178
2019-11-06 18:00:00;48720.981631365496;2397.340481229685;18137.558372775427;6514.991577776255;0.074538
2019-11-06 19:00:00;51085.852922590115;2499.247011613933;23505.27020649653;6514.991577776255;0.07489799999999999
2019-11-06 20:00:00;49790.091847563766;2592.088848971902;22398.745882301097;6514.991577776255;0.075378
2019-11-06 21:00:00;46656.58281236923;2530.3664923638285;18882.76999591654;6514.991577776255;0.075738
2019-11-06 22:00:00;40912.364170040375;2361.7970996732265;13768.863993308529;6514.991577776255;0.076098
2019-11-06 23:00:00;42387.66164131026;2539.521748278266;9652.644794492455;6514.991577776255;0.07633799999999999
2019-11-07 00:00:00;46179.74291355996;2787.8431636909004;7745.465042376775;6514.991577776255;0.066978
2019-11-07 01:00:00;41363.29072898032;2584.3192599123026;5564.5741214935115;6514.991577776255;0.06709799999999999
2019-11-07 02:00:00;41461.26967529568;2571.8322818405295;3940.068500095643;6514.991577776255;0.067218
2019-11-07 03:00:00;40946.42431471151;2566.137911913301;2905.4685766243097;6514.991577776255;0.067338
2019-11-07 04:00:00;40329.386413189364;2537.110901997392;2301.8055616274687;6514.991577776255;0.067338
2019-11-07 05:00:00;40465.36133242261;2456.3860594676803;1895.8134541594459;6514.991577776255;0.06745799999999999
2019-11-07 06:00:00;41730.19864538248;2279.510274915855;1747.755231769835;6514.991577776255;0.067578
2019-11-07 07:00:00;44220.357028529375;2221.3338869379763;1706.2097264132897;6514.991577776255;0.067698
2019-11-07 08:00:00;48411.2068083816;2354.595845824258;2208.1687354056558;6514.991577776255;0.067818
2019-11-07 09:00:00;51925.7720878935;2471.677126819463;3195.4701518359575;6514.991577776255;0.067578
2019-11-07 10:00:00;54083.48195158043;2524.600908715055;3830.4171927870475;6514.991577776255;0.067218
2019-11-07 11:00:00;56771.673684415466;2501.142843861815;4829.642830583824;6514.991577776255;0.066498
2019-11-07 12:00:00;60486.301147568585;2528.438444528516;8541.761858369591;6514.991577776255;0.065658
2019-11-07 13:00:00;62827.80957803737;2593.6955136650727;14399.501435612989;6514.991577776255;0.06469799999999999
2019-11-07 14:00:00;62600.63088130666;2553.839111708607;12708.715332179168;6514.991577776255;0.063858
2019-11-07 15:00:00;61076.05106719362;2591.195529154934;7433.05230303931;6514.991577776255;0.063738
2019-11-07 16:00:00;58613.48033631167;2580.138094923491;6884.433557764201;6514.991577776255;0.063618
2019-11-07 17:00:00;55632.97074514862;2413.074800856784;9819.292507649981;6514.991577776255;0.063378
2019-11-07 18:00:00;54054.5233381727;2230.0581328228704;19212.29286003657;6514.991577776255;0.063498
2019-11-07 19:00:00;54376.746794513165;2307.8262769370526;24811.197731540065;6514.991577776255;0.063858
2019-11-07 20:00:00;53072.52608417942;2398.8527993210496;23534.323862054254;6514.991577776255;0.064218
2019-11-07 21:00:00;49354.96650073978;2465.2164347897783;19581.916823101397;6514.991577776255;0.065178
2019-11-07 22:00:00;45310.5973908283;2416.133055899362;14125.426184268903;6514.991577776255;0.065898
2019-11-07 23:00:00;47267.029531984306;2649.979257094655;9831.429978060412;6514.991577776255;0.06637799999999999
2019-11-08 00:00:00;39161.35120792583;2262.5278151161847;7792.076691534032;6514.991577776255;0.06637799999999999
2019-11-08 01:00:00;34782.80040269619;2085.9320060859704;5598.101680176334;6514.991577776255;0.066498
2019-11-08 02:00:00;35140.52663213787;2103.710881813568;3963.836762274596;6514.991577776255;0.066618
2019-11-08 03:00:00;34447.09847903762;2084.015025328875;2923.016839420421;6514.991577776255;0.066738
2019-11-08 04:00:00;33503.942788448636;2045.1846408384558;2312.9273997824434;6514.991577776255;0.066858
2019-11-08 05:00:00;32766.977840522275;1921.3427522609422;1904.9847023760226;6514.991577776255;0.066978
2019-11-08 06:00:00;32542.642169126295;1708.908863800213;1756.2204667551377;6514.991577776255;0.06709799999999999
2019-11-08 07:00:00;31428.956246328467;1512.587480303624;1712.4152478650426;6514.991577776255;0.067338
2019-11-08 08:00:00;33018.63219492263;1549.9644007284912;2210.849037241379;6514.991577776255;0.067698
2019-11-08 09:00:00;35878.62064085009;1664.7987687524408;3187.73153800943;6514.991577776255;0.067818
2019-11-08 10:00:00;38562.10296289529;1772.2152260401592;3807.310396712134;6514.991577776255;0.067818
2019-11-08 11:00:00;41183.97820328581;1817.7105102052822;4766.0074212627305;6514.991577776255;0.067818
2019-11-08 12:00:00;45115.562219594;1870.655644297537;8379.419323216998;6514.991577776255;0.067578
2019-11-08 13:00:00;48660.22451012203;2014.855013870589;14026.743019390904;6514.991577776255;0.067338
2019-11-08 14:00:00;46591.39634059671;1924.4759541398746;12323.086227629976;6514.991577776255;0.066978
