Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Conso_TS_heat;Conso_TS_air_con;Conso_ECS;Conso_VE;Conso_H2;Taux_pertes
2019-01-01 00:00:00;14745.655102405712;662.57669084321;205.41352110436782;1305.9105537690734;958.0770300843498;20090.79317207574;2467.8483510611795;20430.025486592676;0.0;660.4376577580074;8377.519004949174;6514.991577776255;0.085698
2019-01-01 01:00:00;13421.921917117326;606.1292505102991;147.3856868704699;934.4792346026533;910.1418564978575;19085.596645354686;2344.3752474724233;21147.508750880086;0.0;661.4804218030484;6032.618840705721;6514.991577776255;0.08581799999999999
2019-01-01 02:00:00;13850.905847005371;615.3327669924872;136.5727384070173;1029.0318060397783;905.9566997242305;18997.83463549962;2333.5950200460916;21916.131614246864;0.0;661.7351161066734;4276.627092549618;6514.991577776255;0.08581799999999999
2019-01-01 03:00:00;13413.052500568394;597.2346298215775;138.10117851752796;964.9035956827736;886.6855110916163;18593.719126106127;2283.9555614231217;22400.481774510736;0.0;926.310898800869;3157.4616303764687;6514.991577776255;0.08581799999999999
2019-01-01 04:00:00;12339.518941739934;573.3024145529608;184.0127086600611;897.714866746884;830.5234874853165;17416.006568829984;2139.2914882218124;22235.258842081468;0.0;1322.9647711914358;2501.4425565092665;6514.991577776255;0.08581799999999999
2019-01-01 05:00:00;11773.168153287304;547.8013294121741;336.05199177839785;871.3139736415241;751.0575856468276;15749.613421605327;1934.6004325769277;22233.615769872482;0.0;1984.054789449277;2062.7301717011487;6514.991577776255;0.08581799999999999
2019-01-01 06:00:00;11971.508665442256;501.9995826631611;690.3141949325249;908.1104253202453;628.7390422595867;13184.604089509994;1619.5280764110905;22910.822026305814;0.0;2646.996621253954;1903.9388172486706;6514.991577776255;0.08581799999999999
2019-01-01 07:00:00;12420.473937069366;490.1015398323733;958.1164124139372;1187.9037102678926;551.582530087266;11566.638444127504;1420.785601165212;24860.219547569803;0.0;1325.3685799255886;1863.0025684275847;6514.991577776255;0.085938
2019-01-01 08:00:00;13393.956186313908;529.17470743069;668.483432267157;992.743225117457;538.9253286438216;11301.218127316408;1388.18273338985;25562.58996849028;0.0;927.6197038637937;2414.015916389179;6514.991577776255;0.085938
2019-01-01 09:00:00;14246.34843252105;567.8146673059431;637.4319490397928;904.2799350571067;558.1460002556445;11704.274019877525;1437.6920238743273;24423.14772347859;0.0;1060.2219280246081;3484.8943089480695;6514.991577776255;0.085938
2019-01-01 10:00:00;15580.838107367232;616.7078034685662;730.6491049886927;960.6388541058118;598.0595226422314;12541.257098251679;1540.502670918137;23918.344117895656;0.0;1326.2336127036278;4162.230784422821;6514.991577776255;0.085938
2019-01-01 11:00:00;16295.390785868118;647.0642133923284;1197.859469978816;986.4079421936522;633.59052691569;13286.339213897094;1632.024688028055;23025.960749439473;0.0;2638.118972766438;5192.943167435159;6514.991577776255;0.085578
2019-01-01 12:00:00;15842.26501824755;646.5154334006364;2339.167081721821;1000.4604291034548;677.0522985021704;14197.728889931348;1743.9750525772383;21775.436709672904;0.0;7211.479982680648;9077.492224373156;6514.991577776255;0.08521799999999999
2019-01-01 13:00:00;18647.450341744363;719.20553516257;1503.4678458162543;1136.4530423860767;762.1369406993266;15981.946534882964;1963.1390398298508;21198.504919245664;0.0;9125.722011125532;15107.742426434956;6514.991577776255;0.084858
2019-01-01 14:00:00;18953.609338859864;740.3259002707548;634.1480454532117;1099.2655869015864;742.88591468334;15578.254205104045;1913.551563096689;21078.790719824676;0.0;8479.746435774789;13224.865056729626;6514.991577776255;0.084858
2019-01-01 15:00:00;18363.08595441349;739.0645417730663;547.8437068759715;1065.9922595576418;737.3292495537386;15461.73101819111;1899.238483325953;20365.266005663;0.0;6513.991581385007;7717.255711202326;6514.991577776255;0.084738
2019-01-01 16:00:00;17572.8002325198;727.8832470197437;633.7428672727589;1124.2555754810421;734.3993219366663;15400.290881515823;1891.6915031086899;20462.654835534693;0.0;3898.2853593901614;7131.3222587096925;6514.991577776255;0.084618
2019-01-01 17:00:00;16116.918107491209;684.85166725238;792.4066935842632;1682.5778957650004;699.9539514427761;14677.974721244742;1802.96591343086;21602.511752310515;0.0;1823.7603816591095;10170.612640370864;6514.991577776255;0.084858
2019-01-01 18:00:00;15446.639430997742;637.4115124724784;2009.3597631753898;2033.0315926895685;656.8494181708509;13774.07587680104;1691.9357068723302;25110.650857299355;0.0;1307.4680153607906;19967.511688922776;6514.991577776255;0.08509800000000001
2019-01-01 19:00:00;13646.024641306856;611.1220705218334;4703.96694922349;2121.0654380314613;687.1286064056668;14409.028207656573;1769.9299608802107;25836.479830377906;0.0;1576.309970252202;25934.700790779294;6514.991577776255;0.085338
2019-01-01 20:00:00;14896.11857318651;688.1204976810458;3434.039296425687;2338.543787626345;799.8139687200276;16772.030211335208;2060.1888044552443;23119.5052477708;0.0;1842.4829189161278;24714.001957525987;6514.991577776255;0.08545799999999999
2019-01-01 21:00:00;15309.408220285899;673.2596018093391;1473.6752333551963;2123.4820535551917;839.4044127920563;17602.23843489786;2162.167250342415;21727.840257840544;0.0;2369.2158533141173;20757.96512843221;6514.991577776255;0.08545799999999999
2019-01-01 22:00:00;13076.898853167662;575.0291650224618;587.8216297364661;1721.3929575636357;805.1361338983675;16883.635755161744;2073.89784214993;19426.62395545203;0.0;1575.8168137495259;15063.924781230638;6514.991577776255;0.085338
