Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Conso_TS_heat;Conso_TS_air_con;Conso_ECS;Conso_H2;Taux_pertes
2019-08-27 11:00:00;22467.81288357517;1025.892282292372;1705.8741334838141;1134.6647021595647;817.7419431905499;16040.045348808517;4490.61660866132;-0.0;10283.00804544498;7123.503906847929;4720.563795888698;0.064338
2019-08-27 12:00:00;21150.750305213467;971.9695934185218;3159.575478548233;1071.759880607022;834.7758168317079;16374.165500469284;4584.157796599509;-0.0;10677.121768156343;12694.962170452567;4720.563795888698;0.06361800000000001
2019-08-27 13:00:00;22773.603188029327;996.5055217423602;1882.2277383069415;1127.4682272636294;868.7405119546908;17040.384742908132;4770.674507280285;-0.0;10188.757571305621;21336.824802223502;4720.563795888698;0.062778
2019-08-27 14:00:00;23426.89011826453;1052.601013145371;809.970774560592;1134.9539132481332;867.2139635803198;17010.44159609422;4762.291519707368;-0.0;10584.643713640084;18685.87174939218;4720.563795888698;0.062658
2019-08-27 15:00:00;22885.78767963234;1084.61525482374;722.3235304568882;1112.6773402033434;888.361363935395;17425.248568658502;4878.422036487895;-0.0;10681.125018252525;10843.973075749123;4720.563795888698;0.062418
2019-08-27 16:00:00;21855.29328827589;1073.8281057414092;839.9560803682531;1074.4053078123907;889.1090659967616;17439.915068284463;4882.528096378017;-0.0;11160.74940812896;10047.318532384816;4720.563795888698;0.062298
2019-08-27 17:00:00;20699.632825901506;1036.5239171441565;1078.3162092486123;1048.5386198377003;868.7177032347606;17039.937081142518;4770.549147612537;-0.0;11862.217717204878;14345.250511917895;4720.563795888698;0.062898
2019-08-27 18:00:00;19608.66261501596;986.1720852787456;2752.6590582676404;1021.2105457777777;836.9860788955656;16417.520172246575;4596.295510853963;-0.0;11222.05390574327;28078.839641316143;4720.563795888698;0.063378
2019-08-27 19:00:00;17853.702945454188;932.4222235431644;5734.388667758616;1013.8217893276616;861.1183635918061;16890.87618322406;4728.8176581027665;-0.0;9127.064084741218;36052.95101567557;4720.563795888698;0.063858
2019-08-27 20:00:00;17456.322279906286;933.2386722250992;4112.355380453399;1098.757913102189;889.160352257725;17440.9206301533;4882.809679773495;-0.0;8929.187156132557;34163.53519487847;4720.563795888698;0.064338
2019-08-27 21:00:00;17080.48890698822;885.7181548204763;1742.2427056421984;1507.325614750931;908.706772828381;17824.324866421026;4990.148589810181;-0.0;7180.957643074351;28689.460420372634;4720.563795888698;0.064578
2019-08-27 22:00:00;14520.754346449456;705.8641097907939;647.9811025181598;1640.3297182511776;813.0714125713241;15948.43265502365;4464.968432638738;-0.0;8377.221077928321;20906.193607464764;4720.563795888698;0.064818
2019-08-27 23:00:00;14895.369113000752;699.5407700738247;354.00048667150054;1488.674712326327;836.5613537031949;16409.189212735233;4593.9631790286;-0.0;9039.203115957665;14750.25515457791;4720.563795888698;0.064698
2019-08-28 00:00:00;14757.3528933582;757.2881747965695;210.81137422783323;1221.863733016097;891.5447766463885;17487.691561569252;4895.903763448124;-0.0;7389.959316865459;11757.946612341908;4720.563795888698;0.064698
2019-08-28 01:00:00;12787.0555490789;683.8214117232764;148.8509524167682;986.6861624923823;832.3194190879703;16325.983430884513;4570.668681101927;-0.0;6157.536328127349;8539.977972800963;4720.563795888698;0.064818
2019-08-28 02:00:00;13074.253445654625;708.6931799105091;141.36356069889962;962.2487014341289;844.5770483198067;16566.417104634413;4637.981147022759;-0.0;5813.377116603092;6137.783462931126;4720.563795888698;0.064938
2019-08-28 03:00:00;12858.088912701214;709.4510144227006;148.33199890144405;923.3661295511492;851.9336141115593;16710.716726485993;4678.37967993369;-0.0;5045.687193122893;4600.585335025255;4720.563795888698;0.065058
2019-08-28 04:00:00;12492.383653864197;727.779897639289;210.35077452164495;921.4972485561166;849.0535187507779;16654.22326529327;4662.563616428057;-0.0;4228.011880616653;3691.2468943886543;4720.563795888698;0.065178
2019-08-28 05:00:00;13096.298842280486;753.5987458613711;415.87756462790065;711.1345859297311;828.3432994526145;16247.991370570315;4548.833744294388;-0.0;3837.036159197008;3077.932979683188;4720.563795888698;0.065298
2019-08-28 06:00:00;14662.310447987862;802.1121903873076;1082.6941137242281;703.3543202723213;802.969670866973;15750.286563356143;4409.494947107122;-0.0;3861.2763364294738;2839.756396854542;4720.563795888698;0.065538
2019-08-28 07:00:00;17567.385710404367;869.9384372670206;1678.5625466079603;955.4281153697165;780.8688244522232;15316.77734734475;4288.128477115677;-0.0;4388.370480407225;2757.8146618865285;4720.563795888698;0.065778
2019-08-28 08:00:00;19995.65069326407;962.550938339154;1318.9425662403078;1075.7534029690742;787.4435389895564;15445.740749561925;4324.233387042676;-0.0;5346.102189909303;3473.5632719074943;4720.563795888698;0.065898
2019-08-28 09:00:00;22082.33625583653;1026.449889001576;1223.9010565599021;1144.213744457185;818.4712604481385;16054.350815850185;4494.621582293086;-0.0;6049.782913836802;4763.252180073296;4720.563795888698;0.065778
2019-08-28 10:00:00;23391.346735850755;1065.974721391313;1134.78716062208;1194.6290650023982;841.8075834755763;16512.09439067782;4622.77279839099;-0.0;6461.873236047589;5647.2945187119;4720.563795888698;0.065298
2019-08-28 11:00:00;22971.66321046929;1048.898356113159;1744.1290915542709;1160.1100440831767;836.080156506043;16399.750235718166;4591.320609444778;-0.0;9282.228673625512;7090.093589061291;4720.563795888698;0.064818
2019-08-28 12:00:00;21514.51629563268;988.6862335710036;3213.9161561446713;1090.1927867136433;849.132898609225;16655.780310564136;4662.999477251707;-0.0;9770.359834554958;12635.836825352295;4720.563795888698;0.064098
2019-08-28 13:00:00;23210.09098151061;1015.6049366564596;1918.303251941723;1149.0777246574028;885.3911326772917;17366.98742738863;4862.111122378362;-0.0;9058.765973748617;21188.969130761452;4720.563795888698;0.063498
2019-08-28 14:00:00;23740.052094315455;1066.6717929887789;820.7981633870385;1150.125556108335;878.806558121156;17237.830868713823;4825.95206599897;-0.0;9432.050931755504;18556.535497728564;4720.563795888698;0.063378
2019-08-28 15:00:00;23069.194027780748;1093.3073446839596;728.112220047007;1121.5943191813399;895.4806781524246;17564.894240911246;4917.517635160917;-0.0;9371.705138606858;10756.607312631555;4720.563795888698;0.063258
2019-08-28 16:00:00;22056.742803434183;1083.726035200036;847.698312097315;1084.3085575875107;897.3043616583382;17600.66616819271;4927.532430329908;-0.0;9816.08080473993;9966.464170659516;4720.563795888698;0.063138
2019-08-28 17:00:00;20929.27118940907;1048.0229450772313;1090.2788740803132;1060.170936930432;878.3551162941487;17228.97537464737;4823.472844786496;-0.0;10298.460202695762;14229.141749212298;4720.563795888698;0.063738
2019-08-28 18:00:00;19984.603679702006;1005.0791668570398;2805.4335690744288;1040.7893914841811;853.0329375623286;16732.28003803837;4684.4165756041375;-0.0;9393.613350836014;27817.89927566679;4720.563795888698;0.064338
2019-08-28 19:00:00;18174.808094736036;949.1921663499464;5837.5236720110315;1032.0557320566202;876.6058813092942;17194.664553338975;4813.867112810893;-0.0;7508.072672813727;35716.34210415192;4720.563795888698;0.064818
2019-08-28 20:00:00;17790.93452579038;951.1274968613506;4191.183237069625;1119.819500250431;906.2042597686744;17775.237648868035;4976.406021945427;-0.0;7191.145860534977;33843.070831993566;4720.563795888698;0.065298
2019-08-28 21:00:00;17443.416746901512;904.53797774542;1779.2620430397776;1539.3534116358146;928.0150600778313;18203.05780298447;5096.179737888453;-0.0;5711.707997432539;28419.711964693983;4720.563795888698;0.065538
