Date;Consommation hors metallurgie;Metallurgie;Conso_VE;Conso_H2;Taux_pertes
2019-01-01 00:00:00;55583.04666854529;5787.435315859658;13472.932229047608;7942.0022185251155;0.08545799999999999
2019-01-01 01:00:00;53232.4875247905;5497.874330493158;9854.074151951021;7942.0022185251155;0.085578
2019-01-01 02:00:00;54212.85323163119;5472.593251575435;7133.934821982168;7942.0022185251155;0.085578
2019-01-01 03:00:00;53837.177031269835;5356.182064570691;5386.491357433675;7942.0022185251155;0.085578
2019-01-01 04:00:00;51609.293611430185;5016.9254138039;4346.463064171308;7942.0022185251155;0.085578
2019-01-01 05:00:00;49817.7972666538;4536.897439730694;3644.4506758793823;7942.0022185251155;0.085578
2019-01-01 06:00:00;48507.80630656396;3798.010514064785;3373.0425009388537;7942.0022185251155;0.085578
2019-01-01 07:00:00;47940.52736314603;3331.932758717797;3282.140419872388;7942.0022185251155;0.085698
2019-01-01 08:00:00;48342.91679874087;3255.4746618171926;4094.866112443024;7942.0022185251155;0.085698
2019-01-01 09:00:00;48833.52068070062;3371.5805870819313;5487.777404998032;7942.0022185251155;0.085698
2019-01-01 10:00:00;51159.209549646366;3612.685341064027;6441.429949331511;7942.0022185251155;0.085698
2019-01-01 11:00:00;53692.57988923733;3827.3167440725983;8015.416575730362;7942.0022185251155;0.085338
2019-01-01 12:00:00;58493.79065295005;4089.8553612192745;14192.484880634282;7942.0022185251155;0.084978
2019-01-01 13:00:00;63806.82983751577;4603.824300698466;23561.991833709046;7942.0022185251155;0.084618
2019-01-01 14:00:00;62065.67238810413;4487.535018195971;20602.986984543342;7942.0022185251155;0.084618
2019-01-01 15:00:00;58980.874521392456;4453.968926783485;11870.200743078643;7942.0022185251155;0.08449799999999999
2019-01-01 16:00:00;56057.39469481403;4436.270246141823;10975.138332819903;7942.0022185251155;0.084378
2019-01-01 17:00:00;53482.01389603286;4228.196840455796;15857.868448570669;7942.0022185251155;0.084618
2019-01-01 18:00:00;55529.83928903169;3967.8161171882107;31304.094990479043;7942.0022185251155;0.084858
2019-01-01 19:00:00;58189.15813940749;4150.723101681499;40391.578962444146;7942.0022185251155;0.085098
2019-01-01 20:00:00;59269.994420307135;4831.419012888682;38502.321323114666;7942.0022185251155;0.08521799999999999
2019-01-01 21:00:00;57769.61502279471;5070.572143562255;32455.412902732132;7942.0022185251155;0.08521799999999999
2019-01-01 22:00:00;50932.355754738164;4863.5685446322195;23759.059061717864;7942.0022185251155;0.085098
2019-01-01 23:00:00;53230.094741926645;5849.576507426079;16803.455403092434;7942.0022185251155;0.085098
2019-01-02 00:00:00;64921.89504264614;6479.565273037922;13818.52657521192;7942.0022185251155;0.08821799999999999
2019-01-02 01:00:00;61860.158748574024;6118.586045579978;10095.581915425697;7942.0022185251155;0.08821799999999999
2019-01-02 02:00:00;62408.52652905953;5996.30230583482;7308.776275760011;7942.0022185251155;0.08821799999999999
2019-01-02 03:00:00;62497.57120729497;5934.754013278097;5518.505737666909;7942.0022185251155;0.08821799999999999
2019-01-02 04:00:00;61415.22156174143;5771.523511753404;4452.987997223924;7942.0022185251155;0.08821799999999999
