AREA_from;AREA_to;2022;2030;2040;2050;2060
FR;GB;2514;5914;7314;9314;9314
FR;CH;3200;3200;4200;5200;5200
FR;ES;3000;6000;9000;11000;11000
FR;IT;2673;3673;3673;4673;4673
FR;BE;3500;5000;6000;8000;8000
FR;DE;3450;5250;6250;7250;7250
GB;FR;2514;5914;7314;9314;9314
CH;FR;1900;1900;2900;3900;3900
ES;FR;2800;5800;8800;10800;10800
IT;FR;995;1995;1995;2995;2995
BE;FR;1250;2750;3750;5750;5750
DE;FR;3200;5000;6000;7000;7000
