AREAS;STOCK_TECHNO;storageCost_power_in;storageCost_power_out;storageCost_energy;p_max_in;p_max_out;efficiency_in;dissipation;efficiency_out;p_max_out_eq_p_max_in;h_max
FR;Battery;19748,48152531407;0,0;26982,84889596184;100000;100000;0,95;0,0;0,95;yes;4
FR;HydroStorage;96549,928774817;0,0;0,0;5049;5049;0,9;0,0;0,9;yes;20
FR;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
BE;Battery;19984,582846441226;0,0;19751,203274778207;100000;100000;0,95;0,0;0,95;yes;4
BE;HydroStorage;96549,928774817;0,0;0,0;1308;1308;0,9;0,0;0,9;yes;10
BE;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
CH;Battery;5000,0;0,0;7500,0;100000;100000;0,95;0,0;0,95;yes;4
CH;HydroStorage;96549,928774817;0,0;0,0;10000;10000;0,9;0,0;0,9;yes;20
CH;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
DE;Battery;5000,0;0,0;7500,0;100000;100000;0,95;0,0;0,95;yes;4
DE;HydroStorage;96549,928774817;0,0;0,0;9500;9500;0,9;0,0;0,9;yes;10
DE;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;200000;200000;0,65;1,20274e-05;0,5;no;0
ES;Battery;5000,0;0,0;7500,0;100000;100000;0,95;0,0;0,95;yes;4
ES;HydroStorage;96549,928774817;0,0;0,0;11000;11000;0,9;0,0;0,9;yes;20
ES;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
GB;Battery;5000,0;0,0;7500,0;100000;100000;0,95;0,0;0,95;yes;4
GB;HydroStorage;96549,928774817;0,0;0,0;4309;4309;0,9;0,0;0,9;yes;10
GB;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
IT;Battery;5000,0;0,0;7500,0;100000;100000;0,95;0,0;0,95;yes;4
IT;HydroStorage;96549,928774817;0,0;0,0;7685;7685;0,9;0,0;0,9;yes;20
IT;PowertoH2toPower;170750,4668277058;105166,4510067573;15,0;100000;100000;0,65;1,20274e-05;0,5;no;0
