AREAS;2030;2040;2050;2060
BE;5,4199;31,2444;48,9321;48,9321
DE;77,1153;217,8792;282,5235;282,5235
ES;11,57;72,33;122,12;122,12
IT;31,8637;98,0232;124,2675;124,2675
