AREAS,AREAS,maxExchangeCapacity
FR,ES,1750
FR,GB,2000
FR,DE,2225
FR,IT,591
FR,CH,3083
FR,BE,1850
ES,FR,850
GB,FR,2000
DE,FR,1937
DE,CH,425
IT,FR,995
IT,CH,1810
CH,FR,1366
CH,DE,1800
CH,IT,779
BE,FR,600
