TECHNOLOGIES;energyCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;112,4244709;82152,86758;0;0;12664;0,06;0,06;0;0
TAC;155,1961741;51022,63905;0;0;0;0;0;0;0
OldNuke;10;217684,8231;0;43880;43880;0,04;0,04;0;0
NewNuke;10;328801,7462;0;7360;7360;0,04;0,04;0;0
WindOnShore;0;88386,15778;0;30200;30200;0;0;0;0
WindOffShore;0;130408,7968;0;26300;52600;0;0;0;0
HydroRiver;0;90418,16522;0;11030;11030;0;0;0;0
NewHydroRiver;0;163506,8217;0;0;1200;0;0;0;0
Solar;0;70594,07059;0;70500;141000;0;0;0;0
curtailment;3000;0;0;0;30000;0;0;0;0
HydroReservoir;0;70577,84757;1636;8785;8785;0;0;0;0
Biomass;40,95;241817,5937;0;2031;3000;0,06;0,06;0;0
Coal;189,2462665;127728,4451;0;0;0;0,06;0,06;0;0
