Date;Consommation hors metallurgie;Metallurgie;Conso_VE;Conso_H2;Taux_pertes
2019-01-01 00:00:00;51899.4528655716;3265.3039759153785;8377.519004949174;3214.660903118721;0.085698
2019-01-01 01:00:00;50113.402176739335;3101.9320183582577;6032.618840705721;3214.660903118721;0.08581799999999999
2019-01-01 02:00:00;51343.52889045293;3087.6682896079333;4276.627092549618;3214.660903118721;0.08581799999999999
2019-01-01 03:00:00;51294.51978929933;3021.9884347115926;3157.4616303764687;3214.660903118721;0.08581799999999999
2019-01-01 04:00:00;49593.009773162004;2830.5778996220974;2501.4425565092665;3214.660903118721;0.08581799999999999
2019-01-01 05:00:00;48634.200204137116;2559.7433819564744;2062.7301717011487;3214.660903118721;0.08581799999999999
2019-01-01 06:00:00;48744.64997482971;2142.85916909674;1903.9388172486706;3214.660903118721;0.08581799999999999
2019-01-01 07:00:00;49238.50638560725;1879.8954443100936;1863.0025684275847;3214.660903118721;0.085938
2019-01-01 08:00:00;49887.39018009953;1836.7573504611114;2414.015916389179;3214.660903118721;0.085938
2019-01-01 09:00:00;49930.72278290468;1902.2649749446814;3484.8943089480695;3214.660903118721;0.085938
2019-01-01 10:00:00;51803.5320536416;2038.2976507021806;4162.230784422821;3214.660903118721;0.085938
2019-01-01 11:00:00;53976.035267278094;2159.393911023162;5192.943167435159;3214.660903118721;0.085578
2019-01-01 12:00:00;58630.64724353561;2307.519694485682;9077.492224373156;3214.660903118721;0.08521799999999999
2019-01-01 13:00:00;63379.63190023916;2597.5038981932144;15107.742426434956;3214.660903118721;0.084858
2019-01-01 14:00:00;61755.62653818786;2531.8928225115264;13224.865056729626;3214.660903118721;0.084858
2019-01-01 15:00:00;58284.43235235177;2512.954642512386;7717.255711202326;3214.660903118721;0.084738
2019-01-01 16:00:00;55066.3347057306;2502.96894606593;7131.3222587096925;3214.660903118721;0.084618
2019-01-01 17:00:00;52850.36548721647;2385.572745194885;10170.612640370864;3214.660903118721;0.084858
2019-01-01 18:00:00;56066.97765909529;2238.664457752354;19967.511688922776;3214.660903118721;0.08509800000000001
2019-01-01 19:00:00;58456.34663585875;2341.8616204147093;25934.700790779294;3214.660903118721;0.085338
2019-01-01 20:00:00;57913.83896721645;2725.9141314057547;24714.001957525987;3214.660903118721;0.08545799999999999
2019-01-01 21:00:00;55845.87352917139;2860.8456901742925;20757.96512843221;3214.660903118721;0.08545799999999999
2019-01-01 22:00:00;48635.79160413421;2744.0530803696092;15063.924781230638;3214.660903118721;0.085338
2019-01-01 23:00:00;48191.13024838759;3300.3643902121757;10534.808529202777;3214.660903118721;0.085338
2019-01-02 00:00:00;61302.625873018245;3655.807640782453;8591.93259107255;3214.660903118721;0.088458
2019-01-02 01:00:00;58877.98357872806;3452.141104171459;6180.140098910142;3214.660903118721;0.088458
2019-01-02 02:00:00;59866.77457211919;3383.14792156336;4381.207446137011;3214.660903118721;0.088458
2019-01-02 03:00:00;60223.81985806334;3348.4220242655483;3234.673986679359;3214.660903118721;0.088458
2019-01-02 04:00:00;59390.09550060769;3256.326445389939;2562.6126663616283;3214.660903118721;0.088458
2019-01-02 05:00:00;59720.46166312377;3126.9128396874194;2110.8792248381787;3214.660903118721;0.088338
2019-01-02 06:00:00;63108.319009443294;2927.553386657184;1948.38130092151;3214.660903118721;0.088338
2019-01-02 07:00:00;69008.77422479184;3030.7418357598685;1902.3042042886873;3214.660903118721;0.08821799999999999
2019-01-02 08:00:00;73693.23892331352;3270.68392398697;2462.261349432192;3214.660903118721;0.088098
2019-01-02 09:00:00;74407.68027137246;3433.7033449213413;3546.803219560286;3214.660903118721;0.08785799999999999
2019-01-02 10:00:00;74957.44840523181;3492.34537692771;4226.92981343258;3214.660903118721;0.087618
2019-01-02 11:00:00;75430.16624467014;3459.5214235746234;5273.933688389277;3214.660903118721;0.087258
2019-01-02 12:00:00;78679.39789290153;3498.959562845597;9229.688351078712;3214.660903118721;0.087018
2019-01-02 13:00:00;80720.24580783358;3581.3552825439388;15361.89589204092;3214.660903118721;0.086658
2019-01-02 14:00:00;78859.70134499986;3526.867548193777;13432.511497640728;3214.660903118721;0.086538
2019-01-02 15:00:00;74769.76823426675;3512.958110659734;7829.897305901083;3214.660903118721;0.086298
2019-01-02 16:00:00;70530.22282917611;3464.1891707762134;7227.512661675468;3214.660903118721;0.086058
2019-01-02 17:00:00;66874.63739820238;3219.235871252285;10307.490614158221;3214.660903118721;0.086298
2019-01-02 18:00:00;68749.6540989082;2876.128969241146;20235.636716929715;3214.660903118721;0.086538
2019-01-02 19:00:00;72797.08558773594;3073.4196608320062;26311.132228153256;3214.660903118721;0.086898
2019-01-02 20:00:00;70007.64522148126;3358.3714218513505;25099.87797006347;3214.660903118721;0.087138
2019-01-02 21:00:00;66072.17049360342;3376.423269029258;21105.223486305484;3214.660903118721;0.087258
2019-01-02 22:00:00;58209.68914029447;3242.520975809713;15349.847292849807;3214.660903118721;0.087378
2019-01-02 23:00:00;57259.12759942246;3869.478787981739;10734.765642403785;3214.660903118721;0.087378
2019-01-03 00:00:00;45495.03806949842;3877.290614488125;7920.724843208059;3214.660903118721;0.079818
2019-01-03 01:00:00;42440.24107038535;3628.6496986558477;5704.048765614055;3214.660903118721;0.079938
2019-01-03 02:00:00;43346.55893034312;3617.259614778479;4043.6981231958775;3214.660903118721;0.079938
2019-01-03 03:00:00;43405.28868541213;3572.855735168847;2988.9983075337996;3214.660903118721;0.08005799999999999
2019-01-03 04:00:00;42956.94514632053;3514.611359902538;2367.9804986495687;3214.660903118721;0.08005799999999999
