Date;Consommation hors metallurgie;Metallurgie;Conso_VE;Conso_H2;Taux_pertes
2019-04-04 22:00:00;45881.016160310144;4227.414679287355;21714.018921429673;4720.563795888698;0.083658
2019-04-04 23:00:00;48284.99871654462;5823.2373945766;14590.577302793596;4720.563795888698;0.078738
2019-04-05 00:00:00;40267.63006951183;4780.00110189607;11644.497093786587;4720.563795888698;0.078858
2019-04-05 01:00:00;36539.66424525676;4382.495626354607;8477.602034761972;4720.563795888698;0.07897799999999999
2019-04-05 02:00:00;37199.34368444387;4413.590378913199;6100.139487103712;4720.563795888698;0.07897799999999999
2019-04-05 03:00:00;36909.69483787472;4337.308416266245;4583.201076064021;4720.563795888698;0.079098
2019-04-05 04:00:00;36223.680078465804;4208.524186539388;3686.0101594201537;4720.563795888698;0.079218
2019-04-05 05:00:00;36063.277215759575;3994.9259883536038;3077.2043461749827;4720.563795888698;0.079218
2019-04-05 06:00:00;36912.97428921761;3602.5837463941357;2852.5594629678258;4720.563795888698;0.079458
2019-04-05 07:00:00;37163.512216665855;3262.876572796835;2780.117239493281;4720.563795888698;0.079578
2019-04-05 08:00:00;39426.502379097205;3328.2011926112755;3514.0953773875517;4720.563795888698;0.079818
2019-04-05 09:00:00;43020.66906786938;3649.1827814238018;4813.102426763837;4720.563795888698;0.079818
2019-04-05 10:00:00;45356.798735757635;3819.7051084919785;5686.063859902503;4720.563795888698;0.079938
2019-04-05 11:00:00;46672.98146511473;3835.0594398306876;7096.775652618619;4720.563795888698;0.079818
2019-04-05 12:00:00;50054.8660313605;3888.9669175805757;12544.19254044687;4720.563795888698;0.07969799999999999
2019-04-05 13:00:00;53744.96785463774;4209.159783403779;20888.32926545529;4720.563795888698;0.079578
2019-04-05 14:00:00;51351.43311806503;4075.427161825849;18250.43970212467;4720.563795888698;0.079458
2019-04-05 15:00:00;48455.21778256045;4053.2181375343075;10566.898798433407;4720.563795888698;0.079458
2019-04-05 16:00:00;45057.26857673114;3989.163186669447;9767.793453277354;4720.563795888698;0.07933799999999999
2019-04-05 17:00:00;41429.58239068985;3682.0006512792374;14076.541661084948;4720.563795888698;0.07969799999999999
2019-04-05 18:00:00;40792.846291146845;3337.891864665848;27778.75822081939;4720.563795888698;0.08005799999999999
2019-04-05 19:00:00;42837.4855439442;3404.2371404616792;35960.38356500657;4720.563795888698;0.08041799999999999
2019-04-05 20:00:00;43349.38800734833;3712.7057123651766;34395.871857970014;4720.563795888698;0.080898
2019-04-05 21:00:00;42358.49081914816;3815.183217423469;29019.90227857898;4720.563795888698;0.081138
2019-04-05 22:00:00;38579.55695836914;3680.19290074321;21246.071331023173;4720.563795888698;0.08137799999999999
2019-04-05 23:00:00;43634.28377356723;5549.719547015942;14088.980572732002;4720.563795888698;0.069378
2019-04-06 00:00:00;37920.07337692099;5051.476207468459;11230.821410273891;4720.563795888698;0.069378
2019-04-06 01:00:00;34005.308569157314;4774.314886177436;8166.728408083777;4720.563795888698;0.069498
2019-04-06 02:00:00;34309.440132327865;4763.896357721138;5876.4473999754155;4720.563795888698;0.069618
2019-04-06 03:00:00;34241.7695083205;4700.894924816831;4409.901744544231;4720.563795888698;0.069618
2019-04-06 04:00:00;33739.577523229105;4588.659061144653;3542.4363423671043;4720.563795888698;0.069738
2019-04-06 05:00:00;34154.11388925419;4572.151215591456;2957.3441340751547;4720.563795888698;0.069858
2019-04-06 06:00:00;35751.3028235733;4660.380449985343;2734.973408401087;4720.563795888698;0.069978
2019-04-06 07:00:00;39753.016274458554;4928.611611475018;2662.3727488929226;4720.563795888698;0.070098
2019-04-06 08:00:00;44037.89618649547;5079.85112408664;2915.5219754221803;4720.563795888698;0.069978
2019-04-06 09:00:00;46550.338280361604;5046.023147145328;3775.9192131457385;4720.563795888698;0.069618
2019-04-06 10:00:00;48735.94223649946;5026.151595062493;4299.857312897075;4720.563795888698;0.068898
2019-04-06 11:00:00;50807.39333091541;4859.227872477802;5413.777000455067;4720.563795888698;0.068418
2019-04-06 12:00:00;54442.50259652191;4700.992963331695;9491.286715693403;4720.563795888698;0.067818
2019-04-06 13:00:00;56427.06298518289;4848.879797348596;15971.714046610194;4720.563795888698;0.067098
2019-04-06 14:00:00;55723.917377910395;4924.502485944987;13998.060752665362;4720.563795888698;0.066978
2019-04-06 15:00:00;53918.454668401406;4992.3796110768335;8246.99192924472;4720.563795888698;0.066858
2019-04-06 16:00:00;51851.79523361707;4998.798550575763;7646.3014548710835;4720.563795888698;0.066618
2019-04-06 17:00:00;48053.30459424284;4805.752535668735;10724.134499517222;4720.563795888698;0.067338
2019-04-06 18:00:00;46476.19805574967;4514.674258133479;20834.48009025466;4720.563795888698;0.067818
2019-04-06 19:00:00;46817.09339511059;4561.412673183559;26960.903482065853;4720.563795888698;0.068298
2019-04-06 20:00:00;45108.15683478562;4720.960847355142;25544.917399107922;4720.563795888698;0.06877799999999999
2019-04-06 21:00:00;40604.594640319396;4613.005994111883;21423.455512747376;4720.563795888698;0.069138
2019-04-06 22:00:00;35649.57729231224;4351.074346869881;15604.156102627492;4720.563795888698;0.069378
2019-04-06 23:00:00;40966.303347064575;4292.5636926191355;11228.113787547674;4720.563795888698;0.066138
2019-04-07 00:00:00;42607.99943399168;4709.058666326255;8854.366835074095;4720.563795888698;0.066258
2019-04-07 01:00:00;37868.7185993428;4400.34931644636;6309.06555187346;4720.563795888698;0.066498
2019-04-07 02:00:00;38008.722418763355;4441.585953435368;4416.295057387375;4720.563795888698;0.066618
2019-04-07 03:00:00;37541.221014539056;4478.514401214224;3204.163764507979;4720.563795888698;0.066738
2019-04-07 04:00:00;36691.14055662523;4471.290936290192;2486.061959398213;4720.563795888698;0.066858
2019-04-07 05:00:00;37108.46075142227;4583.966329716073;2019.093721419004;4720.563795888698;0.066978
2019-04-07 06:00:00;38945.34386615944;4822.370631295795;1858.9800547937366;4720.563795888698;0.067098
2019-04-07 07:00:00;42493.020846427586;5061.616949341907;1821.5864619070383;4720.563795888698;0.067218
2019-04-07 08:00:00;47465.041084556535;5174.7594156494315;1967.0318046676314;4720.563795888698;0.066978
2019-04-07 09:00:00;50955.750722240446;5022.944023821556;2813.807134417394;4720.563795888698;0.06637799999999999
2019-04-07 10:00:00;53600.85877503727;4844.451251908771;3379.9049284770176;4720.563795888698;0.065418
2019-04-07 11:00:00;57546.278086411054;4607.887531545504;4264.587343823675;4720.563795888698;0.064458
2019-04-07 12:00:00;61060.41388417926;4516.554860725514;7308.803845596934;4720.563795888698;0.06361800000000001
2019-04-07 13:00:00;62684.34321343381;4835.485440574455;12326.58245126009;4720.563795888698;0.062778
2019-04-07 14:00:00;62502.78665292215;4955.1570836568035;10842.92948322377;4720.563795888698;0.062418
2019-04-07 15:00:00;61176.35459415465;5055.327598972669;6531.723349930823;4720.563795888698;0.061938
2019-04-07 16:00:00;59651.63081703077;5069.714160112488;6065.343029100649;4720.563795888698;0.061578
2019-04-07 17:00:00;57547.86090556945;4770.800084680895;8392.757515628746;4720.563795888698;0.061698
2019-04-07 18:00:00;56582.08079850219;4400.09429923448;16318.28038838729;4720.563795888698;0.061938
2019-04-07 19:00:00;56070.838019780684;4385.47822846726;21418.858494540073;4720.563795888698;0.062298
2019-04-07 20:00:00;53963.27135476949;4494.26300699595;20415.019901186683;4720.563795888698;0.063498
2019-04-07 21:00:00;48210.293080471456;4574.705182559282;16686.314834950925;4720.563795888698;0.064578
2019-04-07 22:00:00;43607.05510823299;4387.966370971627;11642.51881219304;4720.563795888698;0.065178
2019-04-07 23:00:00;43574.83138055599;4915.025812072667;7848.299660812563;4720.563795888698;0.066858
2019-04-08 00:00:00;36516.00020028252;4262.70456769773;6111.862629653686;4720.563795888698;0.066978
2019-04-08 01:00:00;32551.414746293525;3986.3130208133457;4253.267404268173;4720.563795888698;0.067098
2019-04-08 02:00:00;32785.948671885024;4002.3279019915617;2873.201475796913;4720.563795888698;0.067218
2019-04-08 03:00:00;32160.24551987077;4023.776559009799;2073.0441224990373;4720.563795888698;0.067338
2019-04-08 04:00:00;31337.356404383136;4023.731576862942;1650.0034456891906;4720.563795888698;0.067458
2019-04-08 05:00:00;30975.519097401426;3861.7864672213486;1346.0679144446678;4720.563795888698;0.067578
