Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Conso_TS_heat;Conso_TS_air_con;Conso_ECS;Conso_VE;Conso_H2;Taux_pertes
2019-01-01 00:00:00;15398.608526993425;662.57669084321;206.5119312100991;1615.5834593732836;1074.4426605433223;12186.19252523103;3030.7562730122722;23155.399280416088;0.0;767.363231829681;3916.9394355506656;2965.343494458904;0.08581799999999999
2019-01-01 01:00:00;14016.259016382644;606.1292505102991;148.1738040646463;1156.0739670833696;1020.6854011324142;11576.484471626558;2879.119369112159;23954.07682621996;0.0;768.5709528374935;2737.784604956496;2965.343494458904;0.085938
2019-01-01 02:00:00;14464.23881482778;615.3327669924872;137.3030353963642;1273.0479589192933;1015.9919257254829;11523.25189194018;2865.8802080094097;24824.706617008473;0.0;768.8684725036449;1862.2896153168188;2965.343494458904;0.085938
2019-01-01 03:00:00;14006.99685255531;597.2346298215775;138.83964855241908;1193.7129113289604;994.3801069091656;11278.13317722733;2804.9181555616537;25373.336769449947;0.0;1076.27771239699;1314.6801646334018;2965.343494458904;0.085938
2019-01-01 04:00:00;12885.926076236085;573.3024145529608;184.99668195299978;1110.591598914532;931.3967849316656;10563.784478326932;2627.2566930387056;25186.186459525183;0.0;1537.1464936624081;1005.5329239918991;2965.343494458904;0.085938
2019-01-01 05:00:00;12294.496667385114;547.8013294121741;337.84896649474564;1077.9302148016627;842.279154185103;9553.02360189573;2375.8762949447632;25184.32532881759;0.0;2305.2613988750045;799.3187420169987;2965.343494458904;0.085938
2019-01-01 06:00:00;12501.619910164554;501.9995826631611;694.0055200398842;1123.4522748877798;705.1041076450556;7997.201625022603;1988.9369923365803;25951.406259479263;0.0;3075.5394892880054;732.7524286396468;2965.343494458904;0.085938
2019-01-01 07:00:00;12970.465845593577;490.1015398323733;963.2397594273392;1469.5934419841813;618.5763592349172;7015.814743729874;1744.8620258555866;28142.515478460213;0.0;1539.9337601586628;726.607531607933;2965.343494458904;0.086058
2019-01-01 08:00:00;13987.05493302233;529.17470743069;672.0580214839161;1228.154201890511;604.3818458848476;6854.822439789209;1704.8225534196572;28937.619898376706;0.0;1077.7920837106897;1025.5179917656817;2965.343494458904;0.086058
2019-01-01 09:00:00;14877.192022194242;567.8146673059431;640.8404962998612;1118.713453616632;625.9370120098703;7099.298437481794;1765.624746813629;27647.73704132094;0.0;1231.8618128772614;1704.633657575536;2965.343494458904;0.086058
2019-01-01 10:00:00;16270.774331258186;616.7078034685662;734.5561134287814;1188.4368639531617;670.6983306075244;7606.975603140167;1891.8861572145115;27076.28419246269;0.0;1540.9441907809442;2095.9592568378825;2965.343494458904;0.086058
2019-01-01 11:00:00;17016.968168814758;647.0642133923284;1204.2647978267435;1220.3166219945458;710.5448414460006;8058.909682128217;2004.284039100303;26113.505836778757;0.0;3065.252299245012;2626.812505522376;2965.343494458904;0.085698
2019-01-01 12:00:00;16543.777506167007;646.5154334006364;2351.675337009708;1237.701400262102;759.2853706821444;8611.718621154983;2141.7699058787666;24740.725267523056;0.0;8379.150378056307;4495.696430573702;2965.343494458904;0.085338
2019-01-01 13:00:00;19473.17944471822;719.20553516257;1511.5073568796356;1405.9421851935351;854.7041798833634;9693.946661734042;2410.924462680693;24130.09117532963;0.0;10603.451905723927;7516.847240259934;2965.343494458904;0.084978
2019-01-01 14:00:00;19792.89549062176;740.3259002707548;637.5390326575139;1359.9364018697665;833.1149725844637;9449.0846291846;2350.026249017258;23993.821445081463;0.0;9852.912843590957;6593.986581040289;2965.343494458904;0.084978
2019-01-01 15:00:00;19176.223097298152;739.0645417730663;550.7731978888252;1318.7729108940318;826.8834088603321;9378.406783008364;2332.448403813508;23196.13945299868;0.0;7568.8847238691815;3926.919712024817;2965.343494458904;0.08485799999999999
2019-01-01 16:00:00;18350.942675953702;727.8832470197437;637.1316878630736;1390.8523111427037;823.5976195915827;9341.139895240976;2323.179982751114;23321.734753904995;0.0;4529.582215363654;3625.29103045078;2965.343494458904;0.084738
2019-01-01 17:00:00;16830.59252880391;684.85166725238;796.6439390946979;2081.5706019523673;784.9686008856469;8903.01464464692;2214.2163840043895;24589.968971167033;0.0;2119.0729287558306;5063.572377934919;2965.343494458904;0.084978
2019-01-01 18:00:00;16130.633193553338;637.4115124724784;2020.1044359605871;2515.128010913831;736.628699232762;8354.749314981653;2077.8605601643976;28547.73949561528;0.0;1519.1681730852517;9853.867986773288;2965.343494458904;0.08521799999999999
2019-01-01 19:00:00;14250.285249578914;611.1220705218334;4729.120526292196;2624.0374794749823;770.5855216432141;8739.883504651392;2173.6450416102093;29336.736952512045;0.0;1831.536455221383;12940.379677817002;2965.343494458904;0.08545799999999999
2019-01-01 20:00:00;15555.734681652246;688.1204976810458;3452.402174615949;2893.0868591306007;896.957365125017;10173.176710534282;2530.110952728308;26235.598399857707;0.0;2140.798957092384;12322.073100094487;2965.343494458904;0.085578
2019-01-01 21:00:00;15987.325237632664;673.2596018093391;1481.5554340361477;2627.0271513606526;941.3563651272372;10676.744546891598;2655.3503396832175;24656.362019508582;0.0;2752.8171005454406;10264.653126049861;2965.343494458904;0.085578
2019-01-01 22:00:00;13655.957961078706;575.0291650224618;590.9648951602738;2129.589948786987;902.9259471226076;10240.871730452342;2546.9469758868076;22058.49096309066;0.0;1830.960253431108;7303.967432919733;2965.343494458904;0.08545799999999999
2019-01-01 23:00:00;16267.347920776174;667.7294495982198;378.1775415819011;2075.421351193746;1085.9792337291667;12317.038909233193;3063.2982878899647;16957.296973485358;0.0;1068.259637679104;5000.52301082408;2965.343494458904;0.08545799999999999
2019-01-02 00:00:00;17240.15623832361;741.8154471544777;231.2090701506517;1808.7940353065799;1202.9372202310083;13643.561541095603;3393.2099498092034;29535.366868817942;0.0;800.2782878065531;4017.077854554158;2965.343494458904;0.08857799999999999
2019-01-02 01:00:00;15598.699001397652;674.5614306643313;164.90267244597487;1286.59507610464;1135.9210991161024;12883.473154726325;3204.1728378008456;30178.850846204372;0.0;800.0195407025784;2804.659872044017;2965.343494458904;0.08857799999999999
2019-01-02 02:00:00;15848.418577888859;674.2180754088721;150.44248126942858;1394.8744334888281;1113.2189890384175;12625.988944174669;3140.1354549026855;31275.724951981163;0.0;800.3641837139807;1907.7793574017626;2965.343494458904;0.08857799999999999
2019-01-02 03:00:00;15520.025231132462;661.7475980974443;153.83703382656267;1322.6571475365365;1101.7925191973627;12496.391147450573;3107.9039285738636;31966.9236844716;0.0;1120.3498270297823;1346.7935701750775;2965.343494458904;0.08857799999999999
2019-01-02 04:00:00;14824.104244221453;659.5330988643525;212.82211941009322;1277.6362007405303;1071.488610975542;12152.688242485143;3022.423601029258;31731.139966734736;0.0;1600.0443961044607;1030.0948573483604;2965.343494458904;0.08857799999999999
