Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Conso_TS_heat;Conso_TS_air_con;Conso_ECS;Conso_VE;Conso_H2;Taux_pertes
2019-09-20 09:00:00;25606.223713571366;1099.8850062146971;1246.0017634505994;1799.1956761326817;1130.3838995801018;14653.159697303432;2453.828703507445;-0.0;0.0;980.3823092345291;911.8660772658543;3666.0118453076484;0.072858
2019-09-20 10:00:00;26380.417564317573;1120.0700214762835;1169.0405188697482;1822.4311413560079;1140.8410186899275;14788.71517927215;2476.528941096743;-0.0;0.0;1202.7909571967448;1105.4013235292482;3666.0118453076484;0.071898
2019-09-20 11:00:00;26038.5173078222;1111.510622264051;1812.1253332594838;1784.2774373292152;1135.498647191527;14719.46227673537;2464.9318046721746;-0.0;0.0;2354.0518118553564;1386.1385770286734;3666.0118453076484;0.07081799999999999
2019-09-20 12:00:00;24086.88189593579;1037.4117694463423;3307.1984131787453;1665.7504145028583;1139.1294993479994;14766.528951952478;2472.8136326718595;-0.0;0.0;6331.602490505228;2404.6124627407594;3666.0118453076484;0.069738
2019-09-20 13:00:00;25210.036228770816;1048.7973053049907;1942.5404214136374;1707.0902898707552;1171.9632933272478;15192.153088445379;2544.0889414418793;-0.0;591.775217222933;7878.020386312486;4045.4785330462755;3666.0118453076484;0.068658
2019-09-20 14:00:00;25414.66810111382;1089.1186879829277;821.822960108092;1669.9617592995685;1149.0839825654657;14895.568574516406;2494.422688772154;-0.0;1077.0321590643275;7240.394362195824;3559.7438211961235;3666.0118453076484;0.068178
2019-09-20 15:00:00;24393.442124364683;1105.0797712723772;721.4979558560015;1603.383053178639;1158.4858209683246;15017.444723721545;2514.8321529789123;-0.0;1509.784002765712;5511.7051357583405;2114.4471823767303;3666.0118453076484;0.067698
2019-09-20 16:00:00;23082.5313919011;1089.590261875091;835.2310374302032;1565.4204910450562;1146.8592738856767;14866.729986651522;2489.593337737463;-0.0;2142.1921976548283;3264.303166322447;1967.2337541029399;3666.0118453076484;0.067098
2019-09-20 17:00:00;21814.435528246024;1043.5067101937236;1062.6677824780468;1732.016076953505;1110.3051492776353;14392.879026678058;2410.2419049833325;-0.0;1803.0397402011413;1543.7020458369943;2749.6770475768735;3666.0118453076484;0.067698
2019-09-20 18:00:00;20820.97126525971;1009.43958989037;2763.149301721684;1809.4601035457388;1083.8358694432736;14049.757664856972;2352.7825654466396;-0.0;999.7970264949745;1119.7771807087174;5318.115353633458;3666.0118453076484;0.06841799999999999
