Jour;Heure;Puissance VL;Thermosensibilite VL;Puissance PL;Thermosensibilite PL;Puissance bus et car;Thermosensibilite bus et car
Vendredi;8;59,41591138;-0,731947696;0,5;-0,006159526;0,05;-0,000615953
Vendredi;9;110,6075864;-1,362580598;0,2;-0,00246381;0,05;-0,000615953
Vendredi;10;138,8049681;-1,709945606;0,1;-0,001231905;0,05;-0,000615953
Vendredi;11;175,2265861;-2,158625409;0,1;-0,001231905;0,05;-0,000615953
Vendredi;12;296,5760322;-3,653535534;0,4;-0,004927621;0,1;-0,001231905
Vendredi;13;500;-6,159525951;0,6;-0,007391431;0,1;-0,001231905
Vendredi;14;439,7448808;-5,417240011;0,5;-0,006159526;0,05;-0,000615953
Vendredi;15;265,3575025;-3,268952846;0,1;-0,001231905;0,05;-0,000615953
Vendredi;16;245,0486741;-3,018767334;0,1;-0,001231905;0,05;-0,000615953
Vendredi;17;337,1936892;-4,153906558;0,4;-0,004927621;0,05;-0,000615953
Vendredi;18;651,5609265;-8,026612871;1;-0,012319052;0,05;-0,000615953
Vendredi;19;860,1879825;-10,5967004;0,964285714;-0,011879086;0,05;-0,000615953
Vendredi;20;817,0527022;-10,06531465;0,928571429;-0,01143912;0,1;-0,001231905
Vendredi;21;671,1983887;-8,268527787;0,892857143;-0,010999154;0,5;-0,006159526
Vendredi;22;462,9070158;-5,702575553;0,857142857;-0,010559187;1;-0,012319052
Vendredi;23;309,8355153;-3,816879794;0,821428571;-0,010119221;0,85;-0,010471194
Samedi;0;238,6706949;-2,940196678;0,785714286;-0,009679255;0,7;-0,008623336
Samedi;1;161,9671031;-1,995281149;0,75;-0,009239289;0,55;-0,006775479
Samedi;2;106,0758644;-1,306754079;0,714285714;-0,008799323;0,4;-0,004927621
Samedi;3;72,33971131;-0,891156658;0,678571429;-0,008359357;0,25;-0,003079763
Samedi;4;54,71634777;-0,674053528;0,642857143;-0,007919391;0,1;-0,001231905
Samedi;5;42,29607251;-0,521047512;0,607142857;-0,007479424;0,05;-0,000615953
Samedi;6;38,43571668;-0,473491589;0,571428571;-0,007039458;0,05;-0,000615953
Samedi;7;38,60355824;-0,475559238;0,535714286;-0,006599492;0,05;-0,000615953
Samedi;8;47,5327291;-0,585558157;0,5;-0,006159526;0,05;-0,000615953
Samedi;9;88,48606915;-1,090064478;0,2;-0,00246381;0,05;-0,000615953
Samedi;10;111,0439745;-1,367956485;0,05;-0,000615953;0,05;-0,000615953
Samedi;11;140,1812689;-1,726900327;0,05;-0,000615953;0,05;-0,000615953
Samedi;12;237,2608258;-2,922828427;0,2;-0,00246381;0,1;-0,001231905
Samedi;13;400;-4,927620761;0,3;-0,003695716;0,1;-0,001231905
Samedi;14;351,7959047;-4,333792008;0,25;-0,003079763;0,05;-0,000615953
Samedi;15;212,286002;-2,615162277;0,05;-0,000615953;0,05;-0,000615953
Samedi;16;196,0389392;-2,415013867;0,05;-0,000615953;0,05;-0,000615953
Samedi;17;269,7549513;-3,323125246;0,2;-0,00246381;0,05;-0,000615953
Samedi;18;521,2487412;-6,421290297;0,5;-0,006159526;0,05;-0,000615953
Samedi;19;688,150386;-8,477360322;0,482142857;-0,005939543;0,05;-0,000615953
Samedi;20;653,6421618;-8,052251717;0,464285714;-0,00571956;0,1;-0,001231905
Samedi;21;536,958711;-6,61482223;0,446428571;-0,005499577;0,5;-0,006159526
Samedi;22;370,3256126;-4,562060443;0,428571429;-0,005279594;1;-0,012319052
Samedi;23;247,8684122;-3,053503835;0,410714286;-0,005059611;0,85;-0,010471194
Dimanche;0;190,9365559;-2,352157342;0,392857143;-0,004839628;0,7;-0,008623336
Dimanche;1;129,5736824;-1,596224919;0,375;-0,004619645;0,55;-0,006775479
Dimanche;2;84,86069151;-1,045403263;0,357142857;-0,004399661;0,4;-0,004927621
Dimanche;3;57,87176905;-0,712925327;0,339285714;-0,004179678;0,25;-0,003079763
Dimanche;4;43,77307821;-0,539242822;0,321428571;-0,003959695;0,1;-0,001231905
Dimanche;5;33,83685801;-0,41683801;0,303571429;-0,003739712;0,05;-0,000615953
Dimanche;6;30,74857335;-0,378793271;0,285714286;-0,003519729;0,05;-0,000615953
Dimanche;7;30,88284659;-0,38044739;0,267857143;-0,003299746;0,05;-0,000615953
Dimanche;8;35,64954683;-0,439168618;0,25;-0,003079763;0,05;-0,000615953
Dimanche;9;66,36455186;-0,817548359;0,1;-0,001231905;0,05;-0,000615953
Dimanche;10;83,28298087;-1,025967364;0,05;-0,000615953;0,05;-0,000615953
Dimanche;11;105,1359517;-1,295175245;0,05;-0,000615953;0,05;-0,000615953
Dimanche;12;177,9456193;-2,19212132;0,1;-0,001231905;0,08;-0,000985524
Dimanche;13;300;-3,695715571;0,15;-0,001847858;0,08;-0,000985524
Dimanche;14;263,8469285;-3,250344006;0,125;-0,001539882;0,05;-0,000615953
Dimanche;15;159,2145015;-1,961371708;0,05;-0,000615953;0,05;-0,000615953
Dimanche;16;147,0292044;-1,8112604;0,05;-0,000615953;0,05;-0,000615953
Dimanche;17;202,3162135;-2,492343935;0,1;-0,001231905;0,05;-0,000615953
Dimanche;18;390,9365559;-4,815967722;0,25;-0,003079763;0,1;-0,001231905
Dimanche;19;516,1127895;-6,358020241;0,241071429;-0,002969771;0,3;-0,003695716
Dimanche;20;490,2316213;-6,039188787;0,232142857;-0,00285978;0,6;-0,007391431
Dimanche;21;402,7190332;-4,961116672;0,223214286;-0,002749788;0,51;-0,006282717
Dimanche;22;277,7442095;-3,421545332;0,214285714;-0,002639797;0,42;-0,005174002
Dimanche;23;185,9013092;-2,290127876;0,205357143;-0,002529805;0,33;-0,004065287
