AREAS,AREAS,maxExchangeCapacity
FR,ES,1733
FR,GB,2000
FR,DE,2287
FR,IT,684
FR,CH,3083
FR,BE,1800
ES,FR,1708
GB,FR,2000
DE,FR,1945
DE,IT,68
DE,CH,1500
IT,FR,995
IT,DE,100
IT,CH,1810
CH,FR,1300
CH,DE,2200
CH,IT,861
BE,FR,500
