Année;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Chauffage;Eau chaude sanitaire;Véhicules électrique;Hydrogène (électrolyse);Pertes
2030;167995319,81361866;13512221,394150784;13472461,952662272;15246438,319729075;9237187,141968463;90908370,13519391;23247378,734962966;87299503,96865898;23256152,50110033;20640940,740827195;28562118,966784827;36316664,75678054
2040;160871746,33003274;15734778,540075893;13400803,679597028;12324021,141468659;8236769,76753256;111174363,0332155;28072437,132102113;76004774,14287217;20009119,2516942;70850431,31859054;40369377,780927464;40075482,6362364
2050;158690294,30393222;18093987,05434026;14168934,974994902;10718268,131920055;7236352,382759013;141941381,63062122;39738312,08598998;62926003,70680929;17345787,45057425;103611849,69581938;59202985,950446524;44304296,87259659
2060;158690294,30393222;20593749,78213434;14168934,974994902;10718268,131920055;7236352,382759013;141941381,63062122;39738312,08598998;56165994,83349214;17307662,02482368;111567028,56414542;62501777,80494532;44445855,20833793
