Année;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Chauffage;Eau chaude sanitaire;Véhicules électrique;Hydrogène (électrolyse);Pertes
2030;167995319,8;13512051,44;13472461,95;15246438,32;9237187,142;104767006,9;26055986,08;86156349,26;23256152,5;20640940,74;39739765,59;37497602,78
2040;160871746,3;15734407,6;13400803,68;12324021,14;8236769,768;140739454,7;34064132,79;71547848,9;20009119,25;70850431,32;62531599,03;42420475,95
2050;158690294,3;18093402,08;14168934,97;10718268,13;7236352,383;191370519,3;49755678,26;56212239,66;17345787,45;103611849,7;96221332,78;48273655,07
2060;158690294,3;20592937,39;14168934,97;10718268,13;7236352,383;191370519,3;49755678,26;47006461,69;17307662,02;111567028,6;99523718,24;48197968,89
