Année;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Chauffage;Eau chaude sanitaire;Véhicules électrique;Hydrogène (électrolyse);Pertes
2030;167995319,81361866;13512221,394150784;13472461,952662272;15246438,319729075;9237187,141968463;119741601,06442742;20052015,074635766;87299503,96865898;23256152,50110033;20640940,740827195;49419508,477903366;38290543,88288195
2040;160871746,33003274;15734778,540075893;13400803,679597028;12324021,141468659;8236769,76753256;172724356,9677255;21216559,988815635;76004774,14287217;20009119,2516942;70850431,31859054;81780003,97359875;44282564,51977359
2050;158690294,30393222;18093987,05434026;14168934,974994902;10718268,131920055;7236352,382759013;250740315,33979273;22381104,902995504;62926003,70680929;17345787,45057425;103611849,69581938;128364849,13693765;51315088,011930466
2060;158690294,30393222;20593749,78213434;14168934,974994902;10718268,131920055;7236352,382759013;250740315,33979273;22381104,902995504;56165994,83349214;17307662,02482368;111567028,56414542;131608790,37620693;51431968,99204758
