AREAS,TECHNOLOGIES,energyCost,margvarCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
DE,HydroReservoir,0.0,0.0,101255.88,700,1439.0,1439.0,0.0,0.0,0,0
DE,Biomass,37.36,0.0005,278642.0,0,7080.25,7080.25,0.15,0.15,0,0
DE,OldNuke,17.87,0.0,140843.0,0,10793.0,10793.0,0.08,0.08,0,0
DE,NewNuke,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
DE,curtailment,5000.0,0.0,0.0,0,30000.0,30000.0,0.0,0.0,0,0
GB,CCG,33.57,0.0005,111947.62,0,35459.0,35459.0,0.35,0.35,0,0
GB,TAC,46.37,0.0,111947.62,0,0.0,0.0,0.0,0.0,0,0
GB,WindOnShore,0.0,0.0,117631.0,0,10799.8,10799.8,0.0,0.0,0,0
GB,WindOffShore,0.0,0.0,240834.67,0,5471.0,5471.0,0.0,0.0,0,0
GB,HydroRiver,0.0,0.0,228598.0,0,1525.0,1525.0,0.0,0.0,0,0
GB,OldNuke,17.87,0.0,343571.0,0,8985.0,8985.0,0.08,0.08,0,0
GB,NewNuke,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
GB,Solar,0.0,0.0,57692.57,0,0.0,0.0,0.0,0.0,0,0
GB,Biomass,37.36,0.0005,108599.35,0,2119.0,2119.0,0.15,0.15,0,0
GB,Coal,41.73,0.0005,198896.19,0,11611.0,11611.0,0.15,0.15,0,0
GB,Lignite,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
GB,HydroReservoir,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
GB,curtailment,5000.0,0.0,0.0,0,20000.0,20000.0,0.0,0.0,0,0
CH,OldNuke,17.87,0.0,193571.38,0,3373.0,3373.0,0.08,0.08,0,0
CH,Solar,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
CH,HydroRiver,0.0,0.0,108145.0,0,190.0,190.0,0.0,0.0,0,0
CH,HydroReservoir,0.0,0.0,108145.0,1900,4897.8,4897.8,0.0,0.0,0,0
CH,WindOnShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
CH,CCG,0.0,0.0005,1e+20,0,0.0,0.0,0.35,0.35,0,0
CH,Coal,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
CH,Lignite,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
CH,WindOffShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
CH,Biomass,0.0,0.0005,1e+20,0,0.0,0.0,0.15,0.15,0,0
CH,NewNuke,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
CH,curtailment,5000.0,0.0,0.0,0,15000.0,15000.0,0.0,0.0,0,0
IT,CCG,36.06,0.0005,50919.0,0,41576.0,41576.0,0.35,0.35,0,0
IT,TAC,51.45,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
IT,WindOnShore,0.0,0.0,104480.0,0,9024.0,9024.0,0.0,0.0,0,0
IT,WindOffShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
