AREAS;2030;2040;2050;2060
BE;7155357586,234296;7274374952,625264;8999598395,454264;9338805913,556177
CH;3050678664,040063;3452275522,6905856;4039119767,530785;4064945679,5385475
DE;46755575012,60602;46857909382,176384;48298962511,7395;48783430316,55847
ES;16033600203,797367;21241012292,553513;22889035767,867664;23119803955,020924
FR;31696596979,347485;36748149542,9667;36150667375,63312;36962408178,006004
GB;31746663562,729393;30337829723,8401;30849981339,63856;31084936370,20149
IT;23992764073,178867;26184441843,39618;28641983021,860146;28669657659,442757
