AREAS;2030;2040;2050;2060
BE;7155357586,234296;6994921971,93895;8795442226,016373;9425250583,374546
CH;3050678664,040063;3448109627,378668;4034738676,1249804;4084692410,8627615
DE;46755575012,60602;46560421036,88511;48214332061,712166;48572537046,93503
ES;16033600203,797367;21041743342,601395;22566590978,09489;23283517920,742233
FR;31696596979,347485;37571475787,40722;36021885371,58724;35604833756,83466
GB;31746663562,729393;29897576006,501404;30836421847,384857;31975934996,683895
IT;23992764073,178867;25962175818,397743;28553008445,414616;28851899777,104115
