AREAS;2030;2040;2050;2060
BE;7215077400,962542;7627664025,7574625;9351944634,436277;9883296671,27573
CH;3124169065,291602;3536024947,645411;4046783500,151571;4117954076,281442
DE;48342360180,89513;51612590257,97082;59439532526,14443;59794865815,72869
ES;16833407546,29678;24566188175,107933;26557945488,293816;26785848224,45761
FR;32487960575,283287;39203507341,351074;39843986162,244804;40599951604,43972
GB;32312906637,514816;31097778392,449875;33083650698,706947;33090769221,102173
IT;24346534566,796555;27496284454,260544;30799739621,324677;30784963146,38882
