AREAS;2030;2040;2050;2060
BE;7215077400,962542;7778165881,623025;11178615033,570274;11637861153,13599
CH;3124169065,291602;3537301358,9645495;4156977317,518391;4199618019,526062
DE;48342360180,89513;51875436124,65475;59899866521,34427;60623035940,787346
ES;16833407546,29678;24744654755,058117;27591181409,22089;27875693373,38016
FR;32487960575,283287;38817501778,43735;38677764471,02769;40003859387,002266
GB;32312906637,514816;31496267873,443245;33291023950,05239;33899857652,357983
IT;24346534566,796555;27757633903,94164;31536783878,64847;31565527365,66873
