AREAS;2030;2040;2050;2060
BE;80444075,55760826;92235817,59354939;131873415,06569862;138908346,61397302
CH;50633494,2339649;59891072,38530733;68733895,71115081;69861269,14543162
DE;582707314,3869984;699537876,7214047;913653986,343114;917783026,2488948
ES;304032056,6057963;464866177,23088443;576865787,5868162;578672587,6302869
FR;635785350,7992201;747444689,4318601;807079232,7094024;814704315,622103
GB;334758821,91456974;383720520,3046955;509785559,4183718;505050037,32274157
IT;348472431,76630294;435278120,20423734;532502133,8173351;532235412,5150939
