AREAS;2030;2040;2050;2060
BE;7147668857,915774;6437311823,070423;6674053227,338696;7168914268,659212
CH;3050674637,355942;3434787640,1480546;3287588386,717481;3570383043,909054
DE;46740756562,168915;46334205467,067856;46647942614,54901;47449877691,27536
ES;15926109116,093428;20276493532,4236;21254456863,820827;21798109461,74201
FR;31354562894,323467;36820647318,76577;39631340893,14105;39975501638,73865
GB;31721332080,401905;29217166238,868202;30693372420,734226;30562099294,597218
IT;23989243620,93897;25706076003,29535;27563475014,174152;27602980300,28275
