STOCK_TECHNO,storageCost,p_max,c_min,c_max,efficiency_in,dissipation,efficiency_out
Battery,100,0.0,0.0,0.0,0.9,0,0.9
HydroStorage,100,5020.0,100400.0,100400.0,0.9,0,0.9
