AREAS;2030;2040;2050;2060
BE;7215077400,962542;7475084576,292391;11098964050,249123;12052643346,739794
CH;3124169065,291602;3536432733,3068805;4152038176,542882;4242792446,9634132
DE;48342360180,89513;51649722999,03212;59731359060,965;60495094980,157005
ES;16833407546,29678;24472784883,651463;27352826823,717873;28006270897,11405
FR;32487960575,283287;39646549966,17754;38880578818,52407;39640556540,5936
GB;32312906637,514816;31070811809,996067;33327202992,570595;34976213731,7367
IT;24346534566,796555;27477993609,581978;31423464251,398907;31751728739,871513
