AREAS;2030;2040;2050;2060
BE;80234454,93285948;81122912,23592769;106292168,67464888;115056381,06473467
CH;50633717,48392243;60010765,5566927;60252282,52455662;65181558,980772726
DE;582299540,1496043;697273616,9241941;898628254,7928874;907118768,0273768
ES;302518356,0401073;453295565,50317323;557771447,0997474;571914126,1519821
FR;638006198,7512395;778668403,1455004;883742274,9518316;863661910,882899
GB;334475797,7808909;375833276,9327219;505826974,898375;503681268,89154804
IT;348445813,4995309;432072260,9208821;526493359,0325408;527275180,7370277
