AREAS;2030;2040;2050;2060
BE;7207531293,171013;6890083139,806525;7745418872,297477;8216655975,685386
CH;3124165038,6074815;3521884582,1027694;3380954489,2660975;3673802990,7772274
DE;48327123633,05456;51273629650,20151;57942531037,03277;58748262459,19751
ES;16732881683,151506;23732413346,89486;25400243251,930405;26244082939,942802
FR;32148629286,765984;38650770859,875565;41522097074,71028;41874414834,98618
GB;32287748484,078236;30471772335,370674;32814863256,164616;32964455405,39186
IT;24343057059,957447;27196696433,18946;30356883822,05668;30374413546,86033
