AREAS;2030;2040;2050;2060
BE;80444075,55760826;89529447,57944316;144915333,4187806;154682241,49138168
CH;50633494,2339649;59861915,99198393;69755937,5462858;69753128,69209284
DE;582707314,3869984;699201462,2567376;915051982,061064;924016275,3520813
ES;304032056,6057963;462605960,52641976;587026799,032932;596069350,8695927
FR;635785350,7992201;754542507,6436329;781113421,3913656;761592771,3005056
GB;334758821,91456974;382348198,82444865;510030450,0540167;523292386,5858006
IT;348472431,76630294;435112455,01585615;539928661,2151092;543685617,2801976
