AREAS;2030;2040;2050;2060
BE;80444075,55760826;93794931,75649239;148166767,31025285;153297613,62881392
CH;50633494,2339649;59859103,970316075;69777162,80803387;69644415,73386997
DE;582707314,3869984;701405410,3614753;916826571,5923873;924777995,4205798
ES;304032056,6057963;466810161,8646827;590900166,9814208;593491824,7885292
FR;635785350,7992201;735940224,1274543;768476150,3071047;769298033,1909004
GB;334758821,91456974;387339299,17789227;510664321,33996224;513271471,04032785
IT;348472431,76630294;438245179,559401;541390555,1439002;541330279,668615
