"TIMESTAMP","areaConsumption"
1,74494
2,71506
3,71134
4,68840
5,65749
6,64041
7,64210
8,64437
9,64785
10,64292
11,65353
12,66180
13,66901
14,68547
15,65090
16,62228
17,61263
18,62443
19,68890
20,71766
21,72184
22,70440
23,68044
24,71485
25,70442
26,66435
27,65837
28,63815
29,61691
30,61440
31,63639
32,66507
33,69182
34,70385
35,72218
36,72886
37,73650
38,74465
39,71265
40,68603
41,66772
42,67284
43,73003
44,75334
45,73625
46,70139
47,67166
48,70420
49,69454
50,65104
51,64075
52,61537
53,58853
54,57993
55,58983
56,60613
57,62538
58,64219
59,66575
60,67501
61,68325
62,69737
63,66584
64,64100
65,62313
66,62095
67,66346
68,68378
69,66614
70,63221
71,60496
72,63797
73,63198
74,58984
75,57594
76,54873
77,52125
78,50728
79,51177
80,52298
81,53821
82,54902
83,57587
84,59637
85,61463
86,63550
87,59944
88,57404
89,56091
90,56942
91,63395
92,67332
93,67224
94,64818
95,62063
96,65405
97,64953
98,61408
99,61073
100,59186
101,57225
102,57774
103,62019
104,70021
105,75913
106,76658
107,77277
108,77087
109,77457
110,77332
111,75449
112,73054
113,71883
114,72791
115,78669
116,82167
117,79409
118,74925
119,70869
120,73804
121,72782
122,68356
123,67642
124,65740
125,63639
126,63950
127,67967
128,75874
129,81469
130,81910
131,81892
132,81462
133,81772
134,81082
135,79030
136,76824
137,75461
138,76014
139,81080
140,83938
141,80782
142,75903
143,71490
144,73907
145,72638
146,68256
147,67502
148,65230
149,63028
150,63506
151,67518
152,74979
153,80932
154,81389
155,80858
156,80013
157,80177
158,79578
159,77174
160,74884
161,73477
162,73827
163,78993
164,82132
165,79300
166,74383
167,70823
168,73094
169,71684
170,67199
171,66055
172,63811
173,61433
174,61450
175,65040
176,72928
177,78165
178,77862
179,77494
180,77075
181,76919
182,76437
183,74267
184,72120
185,70602
186,70794
187,75899
188,78905
189,75947
190,71137
191,67440
192,69708
193,68532
194,63983
195,62851
196,60747
197,58739
198,58777
199,62356
200,69573
201,75146
202,74672
203,74421
204,74091
205,74178
206,73401
207,70930
208,68972
209,67147
210,66845
211,71166
212,73074
213,70143
214,65849
215,62500
216,64875
217,63512
218,58132
219,56517
220,53621
221,51057
222,50155
223,51230
224,53424
225,56276
226,57969
227,60016
228,60433
229,61085
230,62418
231,59333
232,57244
233,55510
234,55639
235,60749
236,63456
237,62012
238,59180
239,56878
240,60635
241,60709
242,56390
243,55087
244,52362
245,49692
246,48884
247,49710
248,51265
249,53214
250,55044
251,58350
252,59768
253,60877
254,62170
255,58151
256,55486
257,53835
258,54708
259,61334
260,66034
261,65987
262,63766
263,61358
264,64630
265,64211
266,60336
267,59846
268,57864
269,55848
270,56649
271,61254
272,69425
273,75274
274,75579
275,75402
276,74750
277,74656
278,73588
279,71386
280,69133
281,67694
282,67862
283,73517
284,77278
285,74548
286,70009
287,66016
288,68835
289,67741
290,62874
291,61993
292,59943
293,57642
294,58141
295,61839
296,69810
297,75506
298,75036
299,74436
300,73646
301,73731
302,72762
303,70913
304,68778
305,67404
306,67649
307,72565
308,76050
309,73136
310,68648
311,64904
312,67478
313,66424
314,61720
315,60826
316,58849
317,56867
318,57223
319,60872
320,68403
321,74250
322,74610
323,74510
324,74325
325,74276
326,73162
327,71277
328,69201
329,67712
330,68033
331,73596
332,77273
333,74414
334,69726
335,65760
336,68285
337,67231
338,62841
339,61986
340,59756
341,57504
342,57575
343,61244
344,68864
345,74318
346,74011
347,73822
348,73782
349,74490
350,73832
351,72117
352,70273
353,68757
354,68951
355,73669
356,76655
357,73364
358,69014
359,64592
360,67117
361,65947
362,61488
363,60388
364,58079
365,56084
366,56374
367,60240
368,67479
369,73380
370,73553
371,73804
372,73798
373,74146
374,73872
375,71821
376,70016
377,68859
378,68841
379,73303
380,75864
381,73151
382,69167
383,65913
384,69140
385,67986
386,63316
387,62240
388,59881
389,57622
390,56963
391,58686
392,61288
393,64457
394,67156
395,69165
396,69062
397,69208
398,69861
399,65901
400,63123
401,61454
402,61771
403,67870
404,71824
405,70554
406,67670
407,65431
408,69669
409,69655
410,65534
411,64483
412,61867
413,59583
414,58063
415,58956
416,60219
417,61826
418,63714
419,66381
420,67871
421,68705
422,69811
423,65379
424,62528
425,60850
426,61390
427,67579
428,72088
429,71974
430,69213
431,66300
432,69615
433,68984
434,65234
435,64652
436,62855
437,60812
438,61224
439,65671
440,73233
441,78900
442,79382
443,80115
