Mois;heures;Branche Nom;Somme de Lave-Linge;Somme de Lave-vaisselle;Somme de Sèche-linge;Somme de Réfrigérateurs et combinés;Somme de Congélateurs;Somme de Télévisions;Somme de Lecteurs DVD;Somme de Magnétoscopes;Somme de Ordinateurs fixes, secondaires et portables;Somme de Décodeurs, TNT, Satellite et TV ADSL;Somme de Imprimantes;Somme de Boxs et modems;Somme de Téléphones fixes;Somme de Chaîne-Hifi;Somme de Consoles de jeux;Somme de Grille Pain;Somme de Bouilloires électriques;Somme de Cafetières filtres / Machine à expresso;Somme de Micro-ondes;Somme de Mini-four;Somme de Friteuses;Somme de Hottes;Somme de Cuisinières;Somme de Aspirateur;Somme de Fers à repasser / Centrales vapeures;Somme de Ordinateurs;Somme de Imprimantes / Photocopieurs / Scanners;Somme de Serveurs;Somme de Faxs;Somme de Traceurs;Somme de Cuisson;Somme de Electroménager;Somme de Froid Alimentaire;Somme de Process;Somme de Energie;Somme de Agriculture;Somme de Auxiliaire de Chauffage;Somme de Chauffage;Somme de Eclairage Public;Somme de Eclairage;Somme de Climatisation;Somme de ECS;Somme de Autres (Inconnu);Somme de Pertes
10;15;IND Minerai, métal ferreux/non ferreux ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001306715;0;0;0;5,95404E-06;0;3,27189E-05;0;0;2,80691E-05;9,6142E-05
10;15;IND Papier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002745288;0;0;0;0,000246943;0;5,66639E-05;0;0;5,13007E-05;0,000217014
10;15;IND Parachimie, industrie pharmaceutique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010010199;0;0;0;0,000564616;0;0,000717536;0;0;0,000970433;0,000858395
10;15;IND Textile ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;15;Résidence Principale;0,012429106;0,009797639;0,022421227;0,02243734;0,01420961;0,023559899;0,001270205;0;0,012699463;0,004215989;0,000992252;0,001964665;0;0,002169409;0,001669675;0,000926161;0,000415982;0,001245809;0,001985275;0,00086414;0,000362716;0,000239657;0,034833267;0,00059669;0,003422012;0;0;0;0;0;0;0;0;0;0;0;0,000877374;0;0;0,021068585;0,010033811;0,01882989;0,029545439;0,01785583
10;15;Résidence Secondaire;0,000229901;0,000202034;0,00033862;0,001171742;0,000225192;0,001149831;8,9295E-06;0;0;0;0;0;0,000652669;9,79292E-06;5,99197E-06;2,31644E-05;2,18724E-05;0,000113769;3,64585E-05;1,12673E-05;1,05346E-05;1,55469E-05;0,001803103;2,56323E-05;6,9189E-05;0;0;0;0;0;0;0;0;0;0;0;0,000256511;0;0;0,001120415;0;0,001246948;0,00157121;0,000722423
10;15;SPE Matériaux de construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011366572;0;0;0;0;0;0,00079566
10;15;SPE Verre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002409004;0;0;0;0;0;0,00016863
10;15;Tertiaire - Autres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057188029;0,004003162
10;15;Tertiaire - CHR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00613722;0;0;0;0;0;0;0;0,001298409;0,001120246;0,004135566;0,00054426;0;0;0,000588091;0;0;0,007148803;0,010761532;0,002479932;0,001973104;0,002533101
10;15;Tertiaire - COM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000379707;0;0;0;0;0;0;0;0,000355841;0;0,005593967;0,002208576;0;0;0,000589847;0;0;0,013647691;0,010181283;0,000859565;0,003520358;0,002613578
10;15;Tertiaire - ENS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000791945;0;0;0,00048387;0,00010273;0,00017814;0;0;0,000396358;0;0,000904206;0;0;0;2,01031E-05;0;0;0,002799153;0,000692025;0,000794335;0,000400041;0,000529403
10;15;Tertiaire - EP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;15;Tertiaire - HCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000556817;0;0;0;0;0;0;0;0,000433434;0;0,000422052;0,000624871;0;0;1,80226E-05;0;0;0,00147261;0,002309865;0,000708331;0,000327463;0,000481143
10;15;Tertiaire - SAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000547297;0;0;0;0;0;0;0;0,000498095;0;0,001676417;0,000827341;0;0;5,699E-05;0;0;0,005517166;0,014228979;0,001424432;0,001183692;0,001817229
