"TIMESTAMP","areaConsumption"
1,60165
2,56678
3,55780
4,53160
5,50207
6,48657
7,48743
8,49108
9,49548
10,48939
11,50517
12,52328
13,54333
14,56743
15,54300
16,52234
17,51658
18,52325
19,56975
20,59254
21,59008
22,57091
23,55107
24,58199
25,57349
26,52726
27,51509
28,49009
29,46945
30,46528
31,47741
32,49417
33,51520
34,52975
35,55737
36,57237
37,58954
38,61223
39,58683
40,56593
41,55621
42,56053
43,60935
44,63353
45,62407
46,59637
47,57308
48,60921
49,60236
50,55827
51,54405
52,51538
53,48928
54,48009
55,48724
56,49854
57,51397
58,52612
59,55494
60,57856
61,60198
62,62613
63,59405
64,57536
65,56866
66,57407
67,62048
68,65289
69,64325
70,61528
71,58578
72,61481
73,60405
74,56285
75,55275
76,52952
77,50926
78,51420
79,55569
80,63041
81,68554
82,69045
83,69611
84,69395
85,70083
86,70013
87,68302
88,66455
89,65780
90,66436
91,71630
92,74625
93,71880
94,67485
95,63758
96,66202
97,64808
98,60345
99,59055
100,56913
101,54977
102,55527
103,59347
104,66707
105,72166
106,72244
107,72103
108,71847
109,72454
110,72049
111,70715
112,69238
113,68514
114,69193
115,74209
116,76979
117,73898
118,69309
119,65307
120,67630
121,66324
122,61473
123,60296
124,58189
125,56316
126,56461
127,60263
128,67296
129,73174
130,73530
131,73283
132,73023
133,73502
134,72912
135,71359
136,69682
137,68515
138,69005
139,74069
140,76927
141,73980
142,69366
143,65695
144,67879
145,66912
146,62029
147,60950
148,58480
149,56448
150,56348
151,60113
152,67595
153,72859
154,73024
155,73173
156,72950
157,73372
158,72460
159,70644
160,68773
161,67648
162,68230
163,73255
164,76289
165,73390
166,68779
167,65090
168,67481
169,66360
170,61631
171,60472
172,58258
173,56299
174,56633
175,60582
176,67772
177,73458
178,73252
179,73089
180,72594
181,72485
182,71595
183,69590
184,67299
185,65981
186,66090
187,71167
188,73249
189,70659
190,66419
191,63329
192,65814
193,64594
194,59525
195,57914
196,54940
197,52309
198,51789
199,52904
200,55071
201,57871
202,60100
203,62298
204,62401
205,63380
206,64695
207,61488
208,58997
209,57400
210,57384
211,62521
212,65259
213,63706
214,60863
215,58362
216,62048
217,61786
218,57423
219,56042
220,53035
221,50673
222,49801
223,50549
224,51615
225,53505
226,55111
227,58570
228,60757
229,62335
230,64066
231,60109
232,57414
233,56098
234,56295
235,61423
236,65457
237,65070
238,62325
239,59700
240,62532
241,61961
242,57711
243,56806
244,54365
245,52291
246,52886
247,57197
248,65049
249,70731
250,71039
251,71535
252,71657
253,72403
254,72166
255,71046
256,69323
257,68488
258,69030
259,73651
260,76731
261,73696
262,69272
263,65311
264,67858
265,66641
266,61806
267,60751
268,58694
269,56893
270,57200
271,61213
272,68909
273,74625
274,74408
275,74212
276,73783
277,74290
278,73667
279,72195
280,70629
281,69760
282,70199
283,75605
284,79504
285,76709
286,71896
287,68068
288,70680
289,69606
290,64987
291,63909
292,61802
293,59910
294,60436
295,64658
296,71857
297,77839
298,78313
299,78030
300,77014
301,76878
302,76063
303,74185
304,72054
305,70625
306,71074
307,76946
308,80718
309,77730
310,73042
311,69546
312,71991
313,71046
314,66623
315,65483
316,63096
317,61013
318,61100
319,65093
320,72400
321,77993
322,78044
323,78002
324,77720
325,77958
326,76874
327,75385
328,73402
329,72795
330,72920
331,77862
332,81428
333,78389
334,74109
335,70386
336,73090
337,72103
338,67820
339,67063
340,64915
341,63392
342,63711
343,67691
344,75518
345,81002
346,81076
347,81021
348,80147
349,79975
350,78861
351,76613
352,74596
353,73682
354,74034
355,79568
356,82711
357,80231
358,75921
359,72685
360,75700
361,74593
362,69738
363,68460
364,65928
365,63691
366,63043
367,64474
368,66704
369,70066
370,72256
371,74081
372,73909
373,74137
374,74716
375,71087
376,68323
377,66913
378,66866
379,72412
380,76181
381,74516
382,71701
383,69358
384,73540
385,73303
386,69263
387,67917
388,65259
389,62569
390,61295
391,61915
392,62914
393,64608
394,66439
395,69206
396,70616
397,71512
398,72413
399,68107
400,65044
401,63930
402,64394
403,70345
404,75108
405,74928
406,72624
407,70044
408,73554
409,72675
410,68777
411,68373
412,66506
413,64588
414,65152
415,69694
416,77117
417,82477
418,83098
419,83987
420,84434
421,85454
422,85298
423,83874
424,81732
425,80693
426,80886
427,85249
428,88731
429,84924
430,80030
431,75819
432,78507
433,77231
434,72907
435,72618
436,70327
437,67903
438,68323
439,72066
440,79664
441,84656
442,84737
443,85190
444,84898
445,85323
446,84413
447,82297
448,80149
449,78923
450,78949
451,83495
452,87119
453,84157
