TECHNOLOGIES;energyCost;capacity;EnergyNbhourCap;_RampConstraintPlus;_RampConstraintMoins
Thermal;100,65;80000;0;0,1;0,1
OldNuke;7,73;0;0;0;0
NewNuke;7,73;0;0;0;0
HydroRiver;0,43;0;0;0;0
HydroReservoir;0,1;10000;3638,1;0;0
WindOnShore;0;200000;0;0;0
WindOffShore;0;0;0;0;0
Solar;0;100000;0;0;0
Curtailement;3000;0;0;0;0
