Mois;heures;Branche Nom;Somme de Lave-Linge;Somme de Lave-vaisselle;Somme de Sèche-linge;Somme de Réfrigérateurs et combinés;Somme de Congélateurs;Somme de Télévisions;Somme de Lecteurs DVD;Somme de Magnétoscopes;Somme de Ordinateurs fixes, secondaires et portables;Somme de Décodeurs, TNT, Satellite et TV ADSL;Somme de Imprimantes;Somme de Boxs et modems;Somme de Téléphones fixes;Somme de Chaîne-Hifi;Somme de Consoles de jeux;Somme de Grille Pain;Somme de Bouilloires électriques;Somme de Cafetières filtres / Machine à expresso;Somme de Micro-ondes;Somme de Mini-four;Somme de Friteuses;Somme de Hottes;Somme de Cuisinières;Somme de Aspirateur;Somme de Fers à repasser / Centrales vapeures;Somme de Ordinateurs;Somme de Imprimantes / Photocopieurs / Scanners;Somme de Serveurs;Somme de Faxs;Somme de Traceurs;Somme de Cuisson;Somme de Electroménager;Somme de Froid Alimentaire;Somme de Process;Somme de Energie;Somme de Agriculture;Somme de Auxiliaire de Chauffage;Somme de Chauffage;Somme de Eclairage Public;Somme de Eclairage;Somme de Climatisation;Somme de ECS;Somme de Autres (Inconnu);Somme de Pertes
1;2;Tertiaire - CHR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000615954;0;0;0;0;0;0;0;0,001298409;0,000129366;0,003602317;0,00054426;0;0;0,00328802;0,01388234;0;0,000970239;0;0,018477432;0,001973104;0,003134701
1;2;Tertiaire - COM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,81088E-05;0;0;0;0;0;0;0;0,000355841;0;0,004872668;0,002208576;0;0;0,004218417;0,018281973;0;0,00243123;0;0,006404428;0,003520358;0,002963212
1;2;Tertiaire - ENS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,94824E-05;0;0;0,000356014;0,000103488;0,00017814;0;0;0,000396358;0;0,000787616;0;0;0;0,000149985;0,005103543;0;0,00073695;0;0,005918418;0,000400041;0,000994703
1;2;Tertiaire - EP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,022757639;0;0;0;0;0,001593035
1;2;Tertiaire - HCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,58842E-05;0;0;0;0;0;0;0;0,000433434;0;0,000367632;0,000624871;0;0;0,000128893;0,006732551;0;0,000261142;0;0,005277622;0,000327463;0,000994664
1;2;Tertiaire - SAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,49287E-05;0;0;0;0;0;0;0;0,000498095;0;0,001460256;0,000827341;0;0;0,000379656;0,006825864;0;0,00122855;0;0,010613132;0,001183692;0,001615006
1;2;Tertiaire - SPL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,72909E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005662373;0;0;0;0,007567803;0,009105305;0,001563745
1;2;Tertiaire - TRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,67656E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001718235;0;0;0;0,001108776;0,004728609;0,000529011
1;2;Tertiaire - ADM-BUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,19393E-05;0;0;0,005780109;0,003538824;0,003311384;0;0;0,000453403;4,92394E-05;0,003956344;0,015242577;0;0;0,00013559;0,035436722;0;0,002100092;0;0,00471775;0,00851791;0,005829732
1;3;AUT Autres (dont Branche énergie, Transport et Agriculture);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00598604;0;0,001562517;0;0;0;0;0;0;0,001373054;0,000624513
