Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;15.74005237055063;47.81788923483344;65.75578019433699;0.1430971632039911;71.5405255344819;12.690070780020495;0.0;0.0
2021;15.960261856700374;45.76919243298441;65.01607678542169;0.1408715098463898;70.4166241389681;14.141636845235217;0.3794697314813081;0.03836673418631579
2022;16.421553766076435;42.29704452037442;63.981296713054725;0.13856107832603984;68.96467918022856;16.806953857362355;1.0116041082869673;0.11405335640521279
2023;17.11028642261982;37.479196459236995;62.73145655808512;0.13612340482953747;67.21103557006396;20.633988267105156;1.884710170451871;0.22628742541892458
2024;18.07383425279869;31.441965002032283;61.029166041674266;0.13334867601518083;65.15747656297685;25.628721054651777;2.994125098007429;0.45316435549835754
2025;19.116236163340883;25.586776471910813;59.10806031052921;0.13089128946988124;63.046597029747964;30.698470165242398;4.26268669760025;0.7141107657178768
2026;20.263666973125172;19.951830690850905;57.04586371340176;0.12905858731933204;61.01084543048041;35.91682605719016;5.697287421207783;1.0090402701784913
2027;21.414300123740805;14.40188883890306;54.71496058133615;0.1269661485368042;58.68688757693598;41.124472007397536;7.273413715209401;1.334568408521891
2028;22.558996749801885;8.957199935467942;52.119876222145706;0.12430404697348674;56.08577031365864;46.28669829082303;8.977179121364212;1.6898396104808975
2029;23.683361200275968;3.655386917271088;49.26860025348873;0.12159770092733614;53.2123063943722;51.35945236413535;10.787654120385186;2.0721801181569224
2030;24.555635264517576;0.0005637043421059537;46.17717134902739;0.1185815185867585;50.0879474666464;55.12718035546425;12.611914459243211;2.4792391121103297
2031;24.850699700962522;0.0;43.14037813166447;0.1156613612632496;47.022549583797705;55.907081764520875;14.179424097447304;2.875771048888001
2032;25.116705287676034;0.0;40.15917691222092;0.11274637685096682;44.01891743176534;56.6206915542172;15.675680679462623;3.2592570264369525
2033;25.349182071543435;0.0;37.23048466755031;0.10965946899686844;41.082878563598456;57.267908730352794;17.092923844791226;3.632042689655064
2034;25.596737038436387;0.0;34.38049452132316;0.10686663017453853;38.293259871208114;57.950252024216894;18.46579891695181;3.994478322583128
2035;25.941020106360945;0.0;31.63335252059838;0.10481996554895405;35.77833231347098;58.82135960566882;19.876395785089468;4.351192524748348
2036;26.257543683107308;0.0;28.937178447368424;0.10282930534251668;33.31028425916766;59.6279855816487;21.225726835896133;4.695931587566306
2037;26.549176054698986;0.0;26.295697694464103;0.10068965329325676;30.89300620825765;60.37907470738399;22.51262526750966;5.028747297801937
2038;26.81575122250186;0.0;23.712780508820362;0.09876419353633333;28.525831353290872;61.07187934933677;23.74042011362101;5.349940540390632
2039;27.0585366968542;0.0;21.186178002791383;0.0966835453120557;26.2128866243811;61.70864077527829;24.90731827632152;5.660023828874517
2040;27.272825922388215;0.0;18.721411640482327;0.09449399669454397;23.952491525988087;62.276719369874186;26.012365146908543;5.957823698760294
2041;27.467286994607054;0.0;16.32222215094712;0.09246542359174822;21.75626058316459;62.79754575356892;27.059618011103385;6.245741856839798
2042;27.637781877032552;0.0;13.987503742386343;0.09060254326499302;19.62518256945998;63.26988531283258;28.049577088363513;6.521687486041326
2043;27.790450907134726;0.0;11.720203894285872;0.08846132871382224;17.55858394683009;63.69652161098925;28.981021683477387;6.786783201323725
2044;27.953172696599022;0.0;9.527273690356633;0.08629991256334862;15.584926493474955;64.14098576570926;29.90121366769691;7.043418265083905
2045;28.159130065799257;0.0;7.407165903380411;0.08468984907565323;13.71618322147483;64.6939147869712;30.889840843500416;7.29902579998187
2046;28.333642109851073;0.0;5.344738279275922;0.08296654081950135;11.8989947251531;65.17177936745944;31.80716506644173;7.546514163649974
2047;28.490805228086824;0.0;3.3419929618021924;0.08116514758945667;10.130227400552892;65.60290413791438;32.67241451672492;7.780802953600357
2048;28.628980403919666;0.0;1.397258797605933;0.07943582948804886;8.412492900151538;65.99090556756302;33.487723952984446;8.005738904943543
2049;28.658189885313654;0.0;0.06877480224891111;0.07774400747679328;6.746093130506331;65.98355341422186;34.231157631887875;8.131578928612978
2050;28.481317896023583;0.0;0.003583890416017777;0.07597121119906601;5.133189425899873;65.1746928779223;34.863516452695535;8.05823192001236
2051;28.102529537387714;0.0;0.0035503029933855383;0.07425093580046385;5.038590768329546;64.22475926245315;34.25763696169302;7.972672870480532
2052;27.719897042477353;0.0;0.0035161729167527446;0.07258280897552194;4.9416622513645105;63.272849261540586;33.64944008565934;7.887138791723179
2053;27.33607990049744;0.0;0.0034450571041657993;0.07081298218999732;4.845239190246615;62.3182405014934;33.038191212310714;7.799792678234521
2054;26.95009038643149;0.0;0.0033576841049592016;0.0691559948325036;4.747982792645531;61.358284315112016;32.428845235058276;7.711491307173216
2055;26.562288422750864;0.0;0.00326178196672832;0.06747485677164416;4.650678804256127;60.39867600770265;31.81831567564171;7.621449940354405
2056;26.17187481464496;0.0;0.0031759933357788307;0.06581440926579293;4.553632396852145;59.43539668145036;31.20602510855861;7.532661891531694
2057;25.777932588486877;0.0;0.003012429178156951;0.06409483440011535;4.457201010364379;58.47075534457347;30.594556303130656;7.441496478102217
2058;25.31468058603979;0.0;0.0029723765631917125;0.06242801955183743;4.3496478677749915;57.323639642208214;29.91294270492341;7.320000501233661
2059;24.868017768742618;0.0;0.0029223992305941783;0.06082653922389447;4.239892835374117;56.139060948033936;29.27317186923545;7.199493631782088
2060;24.382794829521956;0.0;0.0028044904738723712;0.059020182500371;4.129620747207594;54.91360533363834;28.61506811091339;7.087431780902285
