construction_year_class;heating_system;living_area_class;residential_type;occupancy_status;heating_fuel;energy_class;IPONDL;energy_consumption;surface
[1000, 1918];Autres;120 m² ou plus;house;owner;other;D;34087;191.46698197899548;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;E;38991;277.1673808555885;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;F;37854;384.44727129226675;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;G;30675;555.5084242558171;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;renter;other;A;35;36.84759787738951;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;renter;other;B;141;74.68888792648593;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;renter;other;C;828;124.9663607548312;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;renter;other;D;1772;192.27495980191222;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;renter;other;E;2019;278.1610638298589;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;renter;other;F;1970;384.5391286421504;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;renter;other;G;1548;553.855109075021;169.0882975836829
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;B;10;73.52130645826547;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;C;17;122.43869964886417;108.43404330239322
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;D;41;184.00903842916682;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;E;32;269.45732205352317;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;F;34;385.7782448075917;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;free accomodation;other;G;15;589.847499933512;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;B;1;81.01553701832802;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;C;2;137.921602983051;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;D;6;202.65961876642808;108.43404330239322
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;E;1;318.0054987585897;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;F;2;364.5748965535488;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;low rent housing;other;G;3;624.566487013486;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;A;3;25.511485107169612;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;B;96;76.93251548558575;108.43404330239325
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;C;241;118.7498971511103;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;D;353;187.8958331855664;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;E;226;276.25220540182795;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;F;263;384.77460174797176;108.43404330239323
[1000, 1918];Autres;De 100 à 120 m²;apartment;owner;other;G;165;557.5509086652853;108.43404330239322
[1000, 1918];Autres;De 100 à 120 m²;apartment;renter;other;A;8;40.27051113860299;108.43404330239323
