Année;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie;Chauffage;Eau chaude sanitaire;Véhicules électrique;Hydrogène (électrolyse);Pertes
2030;167995319,81361866;13512222,851482294;13472461,952662272;15246438,319729075;9237187,141968463;104767006,9457971;26055986,077991415;87307222,3427782;23256152,50110033;20640940,740827195;39740036,46520096;37586390,00139562
2040;160871746,33003274;15734781,720750818;13400803,679597028;12324021,141468659;8236769,76753256;140739454,70527092;34064132,79222386;76004410,60785796;20009119,2516942;70850431,31859054;62541275,46261659;42794321,147239804
2050;158690294,30393222;18093992,0702459;14168934,974994902;10718268,131920055;7236352,382759013;191370519,25495106;49755678,26423649;62922083,68940968;17345787,45057425;103611849,69581938;96211535,62767144;48843177,51082212
2060;158690294,30393222;20593756,748091936;14168934,974994902;10718268,131920055;7236352,382759013;191370519,25495106;49755678,26423649;56156455,128543556;17307662,02482368;111567028,56414542;99529637,13380238;48974278,92555031
