Date;Autres usages;Climatisation et ventilation;Cuisson;Eclairage;Energie;Industrie hors metallurgie;Metallurgie
2019-01-01 00:00:00;15288.07673699837;663.4087016140139;190.50263025680997;3161.9610207113133;1203.9547888860614;11096.878605264617;2186.1314967533635
2019-01-01 01:00:00;13903.195212160294;606.3472094084772;136.56467934671642;2260.6007417629967;1142.69405634251;10532.237017695947;2074.894742644677
2019-01-01 02:00:00;14349.164581352165;615.6228198092545;126.55975462136622;2489.6112400569195;1137.5666435739372;10484.977741434343;2065.58446808133
2019-01-01 03:00:00;13919.433558915072;598.5427124420472;128.19600444129333;2338.471926309319;1115.2815503994805;10279.575346493777;2025.1193238387962
2019-01-01 04:00:00;12807.851323849305;574.6693667001649;170.84765950339374;2176.0594888688156;1044.8427550861427;9630.339516927881;1897.2171508633041
2019-01-01 05:00:00;12212.821528401764;548.784672790678;311.82598602719423;2110.8221389020714;944.3149571232043;8703.772522543091;1714.6795740672155
2019-01-01 06:00:00;12432.95387988116;503.48324466566055;641.2913901015617;2202.5125807270406;791.437885473772;7294.701103949033;1437.086633762494
2019-01-01 07:00:00;12945.203731890644;493.3021595924005;893.2482384921822;2891.3872298027136;696.7904546819608;6422.333475989501;1265.2265574129922
2019-01-01 08:00:00;13819.517241973706;527.277578651437;616.9611439518181;2392.077399907604;673.9591307564424;6211.896706559372;1223.7696169199535
2019-01-01 09:00:00;14496.121898530788;557.970328525576;580.1833541333634;2148.8468430683793;688.3622657461465;6344.650757916335;1249.92272459953
2019-01-01 10:00:00;15957.26081323653;609.9625901529479;669.3596854350229;2297.6399527397457;742.3913556653948;6842.638071654809;1348.0283140317722
2019-01-01 11:00:00;17007.76824254113;652.208055505785;1118.334149930703;2404.326303178736;801.5159936910331;7387.591205189701;1455.386371373932
2019-01-01 12:00:00;16291.329436111278;642.0581694332989;2151.70962365199;2402.666346629776;843.8833858298708;7778.092446951876;1532.3167539741173
2019-01-01 13:00:00;19292.669314786042;718.5915567116676;1391.394147738447;2745.8616688489833;955.7115653072199;8808.815311665508;1735.3734589657658
2019-01-01 14:00:00;19676.11224446881;742.2095492306723;588.8723888661053;2665.0434661336167;934.7392056958876;8615.5126171643;1697.292006942272
2019-01-01 15:00:00;18963.197502793373;737.0628049388482;506.0643512322748;2570.835274405748;922.8865822338178;8506.266499371799;1675.770083746464
2019-01-01 16:00:00;18234.242064874015;729.3982138130788;588.2243455133566;2724.370015440937;923.6341442631199;8513.156902600153;1677.1275273891747
2019-01-01 17:00:00;16540.47750610487;678.7639823047269;727.4402814970618;4032.696338423029;870.6758158917652;8025.038955063905;1580.966218393436
2019-01-01 18:00:00;15892.12565477683;633.321325726983;1849.2211398403053;4884.795722088578;819.0959318562543;7549.625732335662;1487.30784072048
2019-01-01 19:00:00;14113.849392470107;610.4126481245888;4351.97865053332;5123.27529369014;861.3870238553108;7939.423879271335;1564.0997219093422
2019-01-01 20:00:00;15371.246584271054;685.7355921201993;3169.7455175182968;5635.543065971511;1000.3360539061601;9220.120031487731;1816.4022112171576
2019-01-01 21:00:00;15957.764000857223;677.7233020776064;1374.0375019046805;5169.118963814336;1060.4882246842867;9774.543956902276;1925.626037554635
2019-01-01 22:00:00;13582.216771323527;576.7823910256499;546.1282249911305;4175.420437719811;1013.575674207876;9342.150020376943;1840.442624283328
2019-01-01 23:00:00;14354.437410632994;594.2149660800072;310.062759259252;3610.201471719578;1081.5497482508306;9968.66859490886;1963.8693934341454
2019-01-02 00:00:00;17119.067700644417;742.8624719447029;213.31835786935383;3540.6562716523517;1348.1475723873284;12425.90676233455;2447.9556022152597
2019-01-02 01:00:00;15473.527673229952;674.8326684042863;151.98933143145084;2515.9301586443553;1271.7586017483418;11721.82785808792;2309.249113561363
2019-01-02 02:00:00;15723.337754050439;674.5790300252936;138.67997378520337;2728.0332720252727;1246.507728951635;11489.090214110427;2263.3988248605683
2019-01-02 03:00:00;15427.153467375374;663.375434247362;142.0818904770372;2591.769638730519;1236.086193056709;11393.034477917972;2244.4754282834233
2019-01-02 04:00:00;14737.1510452476;661.2341948697621;196.5831504571086;2503.84834739524;1202.2317491744097;11080.997467054362;2183.00283247696
2019-01-02 05:00:00;14919.107712016848;670.3919831324588;380.92470786759947;2578.5673505466307;1153.5693473147257;10632.475015108665;2094.642028266149
2019-01-02 06:00:00;16980.91332005437;687.6568045186885;875.8750023060393;3008.1890097072105;1080.9449034621289;9963.09391465767;1962.7711802919425
2019-01-02 07:00:00;20836.199828849793;794.0039095676118;1437.7447570130223;4653.887520853635;1121.5323801217628;10337.189467599424;2036.469562397112
2019-01-02 08:00:00;24637.171619460863;940.0204051175598;1099.906553892685;4264.549940251052;1201.5214770684481;11074.450906072987;2181.7131197003164
2019-01-02 09:00:00;26327.30837421164;1013.3646092091611;1053.7070662603642;3902.6543707628603;1250.1775143948394;11522.914762966264;2270.062382532934
2019-01-02 10:00:00;27439.32629582702;1048.8618776959045;1150.9982216176165;3950.909439373086;1276.579914668478;11766.26621385046;2318.003647220521
2019-01-02 11:00:00;27188.381171639154;1042.6107037342517;1787.7533790426396;3843.522504517302;1281.292291902785;11809.700294748176;2326.560360691459
2019-01-02 12:00:00;24741.455970153656;975.0864097131205;3267.7768332483665;3648.901942547674;1281.596061041763;11812.500174570167;2327.1119554395855
2019-01-02 13:00:00;26603.343544071875;990.8912934312589;1918.6425638430378;3786.365697197881;1317.8644533872073;12146.786747281009;2392.9677927329662
