Saison;Jour;Heure;Climatisation et ventilation;Industrie hors metallurgie;Metallurgie;Energie;Cuisson;Eclairage;Autres usages
Ete;Lundi;4;0,024264662;0,360203658;0,070961627;0,039080261;0,006408175;0,080678201;0,418403415
Ete;Lundi;5;0,025297127;0,35530543;0,069996655;0,038548829;0,012444005;0,060515365;0,43789259
Ete;Lundi;6;0,025018529;0,327074888;0,064435121;0,035485959;0,030200063;0,05641433;0,461371111
Ete;Lundi;7;0,02376176;0,283646475;0,055879542;0,030774197;0,041365987;0,069995881;0,494576159
Ete;Lundi;8;0,024814862;0,264139574;0,052036601;0,028657798;0,029963274;0,073468582;0,526919309
Ete;Lundi;9;0,024795711;0,25520249;0,050275958;0,02768817;0,025851347;0,07279195;0,543394373
Ete;Lundi;10;0,024626916;0,250979139;0,04944394;0,027229958;0,022880978;0,073007778;0,551831291
Ete;Lundi;11;0,024217206;0,249776811;0,049207076;0,027099511;0,035210543;0,0709901;0,543498751
Ete;Lundi;12;0,023394103;0,254747926;0,050186407;0,027638852;0,064970752;0,067333325;0,511728636
Ete;Lundi;13;0,023325142;0,257730712;0,050774028;0,027962469;0,037478522;0,068695105;0,534034022
Ete;Lundi;14;0,024461803;0,261043272;0,051426616;0,028321865;0,016222284;0,069347344;0,549176816
Ete;Lundi;15;0,025474828;0,269832787;0,053158187;0,029275482;0,014539878;0,067724589;0,539994248
Ete;Lundi;16;0,025757824;0,275634157;0,054301082;0,029904901;0,017345086;0,067301902;0,529755048
Ete;Lundi;17;0,025953491;0,27964155;0,055090555;0,030339683;0,023055771;0,0682602;0,51765875
Ete;Lundi;18;0,02466997;0,271039784;0,053395971;0,029406435;0,058890394;0,066340236;0,49625721
Ete;Lundi;19;0,022753661;0,267615839;0,052721439;0,029034955;0,118773136;0,065819604;0,443281365
Ete;Lundi;20;0,023563271;0,284583716;0,056064182;0,030875883;0,08762182;0,072708025;0,444583103
Ete;Lundi;21;0,023048127;0,299403442;0,05898373;0,032483748;0,03823831;0,1032047;0,444637943
Ete;Lundi;22;0,020158263;0,307456939;0,060570303;0,033357511;0,016325354;0,129126453;0,433005176
Ete;Lundi;23;0,020120769;0,31337618;0,061736418;0,033999719;0,008868258;0,116915627;0,444983028
Ete;Mardi;0;0,021540869;0,33391646;0,065782939;0,036228234;0,005253112;0,096638617;0,440639768
Ete;Mardi;1;0,021855786;0,350272776;0,069005202;0,038002811;0,004167695;0,087685677;0,429010053
Ete;Mardi;2;0,022320739;0,350253276;0,06900136;0,038000696;0,003900393;0,084268165;0,432255371
Ete;Mardi;3;0,022487467;0,35556295;0,070047388;0,038576768;0,004118827;0,08138005;0,42782655
Ete;Mardi;4;0,023339148;0,358519369;0,070629815;0,038897525;0,005909485;0,082168408;0,420536251
Ete;Mardi;5;0,02424575;0,350912173;0,069131165;0,038072183;0,011721455;0,063616994;0,442300281
Ete;Mardi;6;0,024379995;0,321358842;0,063309036;0,034865797;0,028828686;0,059442702;0,467814942
Ete;Mardi;7;0,023600669;0,278937235;0,054951802;0,030263269;0,039892743;0,072070859;0,500283424
Ete;Mardi;8;0,024285434;0,26159786;0,051535872;0,028382035;0,029152017;0,075467639;0,529579142
Ete;Mardi;9;0,024134899;0,253398349;0,049920534;0,02749243;0,025210103;0,074806749;0,545036937
Ete;Mardi;10;0,024004886;0,249607829;0,049173786;0,027081177;0,022386579;0,074801741;0,552944002
Ete;Mardi;11;0,02368341;0,248571516;0,048969628;0,026968743;0,03449928;0,072834292;0,54447313
Ete;Mardi;12;0,022461944;0,254013697;0,05004176;0,027559192;0,063965231;0,068868091;0,513090085
Ete;Mardi;13;0,02233333;0,256363663;0,050504714;0,027814151;0,036954431;0,070259325;0,535770387
Ete;Mardi;14;0,023698284;0,257082197;0,050646268;0,027892108;0,01597508;0,071048879;0,553657184
Ete;Mardi;15;0,024591347;0,265209386;0,052247358;0,028773867;0,014346929;0,070145811;0,544685303
Ete;Mardi;16;0,024959666;0,272114489;0,053607692;0,029523035;0,017103349;0,069438133;0,533253635
