Saison;Jour;Heure;Climatisation et ventilation;Industrie hors metallurgie;Metallurgie;Energie;Cuisson;Eclairage;Autres usages
Hiver;Mardi;4;0,020305027;0,340272712;0,067035147;0,036917855;0,00603663;0,076887597;0,452545032
Hiver;Mardi;5;0,020672175;0,327862489;0,064590281;0,035571409;0,011746176;0,079512579;0,460044889
Hiver;Mardi;6;0,019897797;0,288288604;0,056794061;0,031277844;0,025344013;0,087043906;0,491353774
Hiver;Mardi;7;0,019263978;0,250799005;0,049408453;0,027210414;0,034882301;0,11291177;0,505524079
Hiver;Mardi;8;0,020705599;0,243934215;0,04805606;0,026465619;0,024227372;0,093934196;0,542676939
Hiver;Mardi;9;0,021406011;0,243406606;0,047952119;0,026408376;0,022258193;0,082438504;0,55613019
Hiver;Mardi;10;0,021426795;0,240368517;0,047353603;0,026078759;0,023513299;0,080711606;0,56054742
Hiver;Mardi;11;0,02115695;0,239645764;0,047211218;0,026000344;0,036277595;0,077993841;0,551714287
Hiver;Mardi;12;0,020291291;0,245815013;0,048426586;0,026669676;0,068001574;0,075932687;0,514863173
Hiver;Mardi;13;0,020157741;0,247102566;0,048680239;0,026809369;0,039031022;0,077026188;0,541192876
Hiver;Mardi;14;0,021254702;0,246722982;0,048605459;0,026768186;0,016863576;0,076319019;0,563466076
Hiver;Mardi;15;0,021753763;0,251055004;0,049458886;0,027238189;0,014936046;0,075875951;0,559682162
Hiver;Mardi;16;0,02184471;0,254960103;0,050228207;0,027661872;0,017616701;0,081592019;0,546096388
Hiver;Mardi;17;0,020913321;0,247258576;0,048710973;0,026826295;0,022413081;0,124250955;0,509626799
Hiver;Mardi;18;0,019124623;0,227978658;0,044912749;0,024734523;0,05584157;0,147507865;0,479900012
Hiver;Mardi;19;0,017660141;0,229699279;0,045251719;0,024921201;0,125909181;0,148223934;0,408334544
Hiver;Mardi;20;0,018584059;0,249873649;0,049226154;0,027110018;0,08590299;0,152728349;0,41657478
Hiver;Mardi;21;0,018857442;0,271973673;0,053579951;0,029507758;0,03823217;0,143829142;0,444019865
Hiver;Mardi;22;0,018559953;0,30061574;0,059222558;0,032615276;0,01757355;0,134358483;0,43705444
Hiver;Mardi;23;0,018637358;0,312664029;0,061596121;0,033922454;0,009725017;0,113232788;0,450222233
Hiver;Mercredi;0;0,019632754;0,328398297;0,064695838;0,035629542;0,005637688;0,093574297;0,452431584
Hiver;Mercredi;1;0,019778727;0,343556031;0,067681975;0,037274079;0,004454668;0,073739607;0,453514914
Hiver;Mercredi;2;0,019687905;0,33531448;0,066058355;0,036379912;0,00404744;0,079618929;0,458892978
Hiver;Mercredi;3;0,019685913;0,33809254;0,066605644;0,036681318;0,004216333;0,076911729;0,457806523
Hiver;Mercredi;4;0,020305027;0,340272712;0,067035147;0,036917855;0,00603663;0,076887597;0,452545032
Hiver;Mercredi;5;0,020672175;0,327862489;0,064590281;0,035571409;0,011746176;0,079512579;0,460044889
Hiver;Mercredi;6;0,019897797;0,288288604;0,056794061;0,031277844;0,025344013;0,087043906;0,491353774
Hiver;Mercredi;7;0,019263978;0,250799005;0,049408453;0,027210414;0,034882301;0,11291177;0,505524079
Hiver;Mercredi;8;0,020705599;0,243934215;0,04805606;0,026465619;0,024227372;0,093934196;0,542676939
Hiver;Mercredi;9;0,021406011;0,243406606;0,047952119;0,026408376;0,022258193;0,082438504;0,55613019
Hiver;Mercredi;10;0,021426795;0,240368517;0,047353603;0,026078759;0,023513299;0,080711606;0,56054742
Hiver;Mercredi;11;0,02115695;0,239645764;0,047211218;0,026000344;0,036277595;0,077993841;0,551714287
Hiver;Mercredi;12;0,020291291;0,245815013;0,048426586;0,026669676;0,068001574;0,075932687;0,514863173
Hiver;Mercredi;13;0,020157741;0,247102566;0,048680239;0,026809369;0,039031022;0,077026188;0,541192876
Hiver;Mercredi;14;0,021254702;0,246722982;0,048605459;0,026768186;0,016863576;0,076319019;0,563466076
Hiver;Mercredi;15;0,021753763;0,251055004;0,049458886;0,027238189;0,014936046;0,075875951;0,559682162
Hiver;Mercredi;16;0,02184471;0,254960103;0,050228207;0,027661872;0,017616701;0,081592019;0,546096388
Hiver;Mercredi;17;0,020913321;0,247258576;0,048710973;0,026826295;0,022413081;0,124250955;0,509626799
Hiver;Mercredi;18;0,019124623;0,227978658;0,044912749;0,024734523;0,05584157;0,147507865;0,479900012
Hiver;Mercredi;19;0,017660141;0,229699279;0,045251719;0,024921201;0,125909181;0,148223934;0,408334544
Hiver;Mercredi;20;0,018584059;0,249873649;0,049226154;0,027110018;0,08590299;0,152728349;0,41657478
Hiver;Mercredi;21;0,018857442;0,271973673;0,053579951;0,029507758;0,03823217;0,143829142;0,444019865
Hiver;Mercredi;22;0,018559953;0,30061574;0,059222558;0,032615276;0,01757355;0,134358483;0,43705444
Hiver;Mercredi;23;0,018637358;0,312664029;0,061596121;0,033922454;0,009725017;0,113232788;0,450222233
Hiver;Jeudi;0;0,019632754;0,328398297;0,064695838;0,035629542;0,005637688;0,093574297;0,452431584
Hiver;Jeudi;1;0,019778727;0,343556031;0,067681975;0,037274079;0,004454668;0,073739607;0,453514914
Hiver;Jeudi;2;0,019687905;0,33531448;0,066058355;0,036379912;0,00404744;0,079618929;0,458892978
Hiver;Jeudi;3;0,019685913;0,33809254;0,066605644;0,036681318;0,004216333;0,076911729;0,457806523
Hiver;Jeudi;4;0,020305027;0,340272712;0,067035147;0,036917855;0,00603663;0,076887597;0,452545032
Hiver;Jeudi;5;0,020672175;0,327862489;0,064590281;0,035571409;0,011746176;0,079512579;0,460044889
Hiver;Jeudi;6;0,019897797;0,288288604;0,056794061;0,031277844;0,025344013;0,087043906;0,491353774
Hiver;Jeudi;7;0,019263978;0,250799005;0,049408453;0,027210414;0,034882301;0,11291177;0,505524079
Hiver;Jeudi;8;0,020705599;0,243934215;0,04805606;0,026465619;0,024227372;0,093934196;0,542676939
Hiver;Jeudi;9;0,021406011;0,243406606;0,047952119;0,026408376;0,022258193;0,082438504;0,55613019
Hiver;Jeudi;10;0,021426795;0,240368517;0,047353603;0,026078759;0,023513299;0,080711606;0,56054742
Hiver;Jeudi;11;0,02115695;0,239645764;0,047211218;0,026000344;0,036277595;0,077993841;0,551714287
Hiver;Jeudi;12;0,020291291;0,245815013;0,048426586;0,026669676;0,068001574;0,075932687;0,514863173
Hiver;Jeudi;13;0,020157741;0,247102566;0,048680239;0,026809369;0,039031022;0,077026188;0,541192876
Hiver;Jeudi;14;0,021254702;0,246722982;0,048605459;0,026768186;0,016863576;0,076319019;0,563466076
Hiver;Jeudi;15;0,021753763;0,251055004;0,049458886;0,027238189;0,014936046;0,075875951;0,559682162
Hiver;Jeudi;16;0,02184471;0,254960103;0,050228207;0,027661872;0,017616701;0,081592019;0,546096388
Hiver;Jeudi;17;0,020913321;0,247258576;0,048710973;0,026826295;0,022413081;0,124250955;0,509626799
Hiver;Jeudi;18;0,019124623;0,227978658;0,044912749;0,024734523;0,05584157;0,147507865;0,479900012
Hiver;Jeudi;19;0,017660141;0,229699279;0,045251719;0,024921201;0,125909181;0,148223934;0,408334544
Hiver;Jeudi;20;0,018584059;0,249873649;0,049226154;0,027110018;0,08590299;0,152728349;0,41657478
Hiver;Jeudi;21;0,018857442;0,271973673;0,053579951;0,029507758;0,03823217;0,143829142;0,444019865
Hiver;Jeudi;22;0,018559953;0,30061574;0,059222558;0,032615276;0,01757355;0,134358483;0,43705444
Hiver;Jeudi;23;0,018637358;0,312664029;0,061596121;0,033922454;0,009725017;0,113232788;0,450222233
Hiver;Vendredi;0;0,019348713;0,324976972;0,064021823;0,035258345;0,005556124;0,092248407;0,458589616
Hiver;Vendredi;1;0,019394029;0,338879678;0,066760714;0,036766718;0,004368025;0,082730384;0,451100452
Hiver;Vendredi;2;0,01958025;0,334365859;0,065871472;0,036276992;0,004025308;0,07921232;0,460667799
Hiver;Vendredi;3;0,01956963;0,335925995;0,066178826;0,036446259;0,004191427;0,076457416;0,461230448
Hiver;Vendredi;4;0,020194405;0,33858731;0,066703116;0,036734998;0,006003742;0,076353811;0,455422618
Hiver;Vendredi;5;0,020548109;0,325196767;0,064065123;0,035282192;0,011675681;0,079089808;0,46414232
Hiver;Vendredi;6;0,01984841;0,28670003;0,056481105;0,031105492;0,025281108;0,086684891;0,493898964
Hiver;Vendredi;7;0,019138279;0,248091858;0,048875133;0,026916702;0,034654691;0,112257326;0,510066011
Hiver;Vendredi;8;0,020632126;0,24138383;0,047553624;0,026188916;0,024141402;0,093358856;0,546741246
Hiver;Vendredi;9;0,021279303;0,24078341;0,047435339;0,026123773;0,022126442;0,081486621;0,560765111
Hiver;Vendredi;10;0,021265992;0,23658022;0,046607293;0,025667748;0,023336838;0,079627998;0,566913911
Hiver;Vendredi;11;0,021030956;0,235969362;0,046486951;0,025601473;0,036061554;0,077351143;0,557498561
Hiver;Vendredi;12;0,020163131;0,241997421;0,047674504;0,026255487;0,067572075;0,075002752;0,52133463
Hiver;Vendredi;13;0,020191981;0,244313647;0,04813081;0,026506786;0,039304843;0,076057154;0,545494778
Hiver;Vendredi;14;0,021452168;0,24602672;0,048468293;0,026692645;0,017020246;0,075342677;0,564997251
Hiver;Vendredi;15;0,022124033;0,252013877;0,049647788;0,027342221;0,015190272;0,074479267;0,559202542
Hiver;Vendredi;16;0,022254611;0,254802523;0,050197163;0,027644775;0,017947267;0,080447266;0,546706394
Hiver;Vendredi;17;0,021239517;0,245860063;0,04843546;0,026674564;0,02276267;0,124200406;0,51082732
Hiver;Vendredi;18;0,019646026;0,228908714;0,045095974;0,024835429;0,057364004;0,148102342;0,476047512
